t,angle,iteration,phase angle
0.0,11,1,335.89596
0.00598,9,2,346.12606
0.01409,0,3,360.0
0.02638,1,4,381.02475
0.03475,9,5,395.34348
0.04612,19,6,414.79436
0.05542,31,7,430.70406
0.06777,43,8,451.83145
0.07585,55,9,465.65407
0.08819,67,10,486.76435
0.09626,79,11,500.56986
0.10869,90,12,521.83411
0.11683,91,13,535.75937
0.12819,90,14,555.19315
0.13617,91,15,568.8447
0.1492,91,16,591.13538
0.15772,80,17,605.71071
0.17002,68,19,626.75257
0.17834,57,20,640.98576
0.19027,45,21,661.39465
0.19878,34,22,675.95288
0.21105,22,23,696.94341
0.21925,11,24,710.97132
0.23153,0,26,731.97896
0.23973,0,27,746.00686
0.25201,6,28,767.0145
0.25994,17,29,780.58051
0.27267,29,30,802.35798
0.28076,40,31,816.1977
0.29237,52,32,836.05916
0.30074,64,33,850.37789
0.31341,76,34,872.05271
0.32167,88,35,886.18326
0.33385,90,36,907.01983
0.34183,91,37,920.67137
0.3546,90,38,942.51727
0.36257,77,39,956.15171
0.37492,66,41,977.2791
0.38309,54,42,991.25568
0.39538,43,43,1012.28043
0.40377,32,44,1026.63337
0.41586,20,45,1047.31597
0.42402,9,46,1061.27545
0.4357,0,47,1081.25666
0.44437,1,48,1096.0886
0.45662,9,49,1117.04492
0.46495,21,50,1131.29522
0.477,33,51,1151.9094
0.48548,45,52,1166.4163
0.49767,57,53,1187.26998
0.50592,69,54,1201.38342
0.51802,81,55,1222.08313
0.52648,92,56,1236.55582
0.53871,91,57,1257.47793
0.54666,90,58,1271.07815
0.55862,91,59,1291.53836
0.5666,89,60,1305.18991
0.57857,77,62,1325.66723
0.58754,65,63,1341.01238
0.59951,54,64,1361.4897
0.61148,43,65,1381.96702
0.62046,31,66,1397.32929
0.63244,20,67,1417.82371
0.6404,8,68,1431.44104
0.64838,0,69,1445.09259
0.66134,1,70,1467.26352
0.66933,8,71,1480.93217
0.68129,18,72,1501.39238
0.69326,30,73,1521.8697
0.70223,42,74,1537.21486
0.71463,54,75,1558.42779
0.72277,66,76,1572.35305
0.73474,77,77,1592.83037
0.74336,89,78,1607.57677
0.75563,91,79,1628.56731
0.76429,91,80,1643.38214
0.77622,91,81,1663.79103
0.78418,91,82,1677.40836
0.79673,80,84,1698.8779
0.80517,69,85,1713.31638
0.8172,57,86,1733.89634
0.82526,46,87,1747.68474
0.83774,34,88,1769.03453
0.84577,23,89,1782.77161
0.85805,12,91,1803.77925
0.8663,0,92,1817.89269
0.8785,0,93,1838.76348
0.88662,5,94,1852.65452
0.89886,17,95,1873.59373
0.90729,28,96,1888.0151
0.91958,40,97,1909.03985
0.92798,52,98,1923.4099
0.9392,64,99,1942.60418
0.948,76,100,1957.65852
0.9605,88,101,1979.04252
0.96812,90,102,1992.0782
0.98102,91,103,2014.14649
0.98888,91,104,2027.59275
1.0015,91,105,2049.18204
1.00972,82,106,2063.24415
1.02146,71,107,2083.32801
1.02953,59,108,2097.13352
1.0424,48,109,2119.15048
1.05069,36,110,2133.33235
1.06293,25,112,2154.27156
1.07113,14,113,2168.29947
1.08336,2,114,2189.22157
1.09144,0,115,2203.04419
1.1038,4,116,2224.18869
1.11211,17,117,2238.40477
1.1238,28,119,2258.40309
1.13181,39,120,2272.10596
1.14379,51,121,2292.60038
1.15284,63,122,2308.0824
1.16532,75,123,2329.43219
1.1735,87,124,2343.42588
1.18581,90,126,2364.48484
1.19423,91,127,2378.8891
1.20628,90,128,2399.50328
1.21429,78,129,2413.20614
1.22626,66,130,2433.68346
1.23478,55,131,2448.2588
1.24682,44,132,2468.85587
1.25528,32,133,2483.32856
1.26764,21,134,2504.47306
1.27973,10,135,2525.15566
1.28808,0,136,2539.44017
1.2966,1,137,2554.01551
1.30857,8,138,2574.49283
1.32092,18,139,2595.62022
1.32859,30,140,2608.74144
1.34144,42,141,2630.72419
1.34975,54,142,2644.94028
1.36144,66,143,2664.93859
1.36998,77,144,2679.54814
1.38234,89,145,2700.69264
1.39005,91,146,2713.88229
1.4028,91,147,2735.69397
1.411,88,148,2749.72188
1.42308,76,149,2770.38737
1.43153,64,150,2784.84296
1.44388,53,151,2805.97035
1.45164,42,152,2819.24554
1.46426,30,153,2840.83482
1.47245,19,154,2854.84562
