t,angle,iteration,phase angle
0.0,40,1,296.61581
0.004,17,2,303.59837
0.01603,6,3,324.59842
0.024,1,4,338.51117
0.03631,0,5,360.0
0.04434,11,6,374.01749
0.056,24,7,394.37165
0.06438,36,8,409.00011
0.0764,48,9,429.98271
0.08437,60,10,443.89546
0.09637,72,11,464.84314
0.10429,84,12,478.66861
0.11603,90,13,499.16242
0.12403,90,14,513.12754
0.14037,91,15,541.6513
0.14801,84,16,554.98799
0.16029,73,17,576.42445
0.16837,61,18,590.52922
0.18133,50,19,613.15271
0.18921,38,20,626.90836
0.20122,27,21,647.87349
0.20923,15,22,661.85607
0.2212,4,23,682.75138
0.22921,1,24,696.73396
0.24121,0,25,717.68164
0.24922,11,26,731.66421
0.26121,24,27,752.59444
0.26918,36,28,766.50719
0.28121,47,29,787.50724
0.28922,59,30,801.48981
0.3012,72,31,822.40258
0.3093,83,32,836.54226
0.32495,91,33,863.86153
0.33295,90,34,877.82665
0.3453,91,35,899.3853
0.35333,91,36,913.40279
0.36523,87,37,934.17591
0.3772,74,38,955.07122
0.38523,63,39,969.08871
0.3972,52,40,989.98402
0.40524,40,41,1004.01897
0.41719,29,42,1024.87936
0.42523,17,43,1038.91431
0.43718,6,44,1059.77471
0.44524,1,45,1073.84457
0.45717,0,46,1094.67005
0.46523,10,47,1108.73991
0.47724,23,48,1129.70505
0.48524,35,49,1143.67017
0.50095,47,50,1171.09417
0.50896,59,51,1185.07675
0.52132,71,52,1206.65286
0.52934,83,53,1220.65289
0.54095,91,54,1240.91977
0.54933,90,55,1255.54823
0.56133,91,56,1276.49591
0.56931,85,57,1290.42612
0.58119,73,58,1311.16432
0.58921,62,59,1325.16436
0.60121,51,60,1346.11204
0.60933,39,61,1360.28663
0.62125,28,62,1381.09466
0.62932,16,63,1395.18198
0.64098,4,64,1415.53614
0.64933,1,65,1430.11223
0.66495,0,66,1457.37913
0.67295,10,67,1471.34425
0.68523,23,68,1492.78071
0.69324,35,69,1506.76329
0.70515,47,70,1527.55386
