t,angle,iteration,phase angle
0.0,59,1,-353.89849
0.012,2,2,-336.56665
0.02038,13,3,-324.46325
0.03237,22,4,-307.14585
0.04039,31,5,-295.5624
0.0523,41,6,-278.36055
0.06,51,7,-267.23929
0.07271,60,8,-248.88198
0.08071,70,9,-237.32742
0.09239,79,10,-220.45776
0.10467,89,11,-202.72152
0.11639,91,12,-185.79408
0.12839,91,13,-168.46224
0.13659,91,14,-156.61882
0.14875,89,15,-139.05589
0.15721,79,16,-126.83694
0.16939,69,17,-109.24512
0.17741,60,18,-97.66168
0.18908,51,19,-80.80646
0.19707,42,20,-69.26635
0.20941,33,21,-51.44344
0.21745,23,22,-39.83111
0.22945,14,23,-22.49927
0.23744,5,24,-10.95915
0.24944,1,25,6.37269
0.25746,1,26,17.95614
0.26942,12,27,35.2302
0.27744,22,28,46.81365
0.28943,31,29,64.13105
0.29744,40,30,75.70005
0.30945,50,31,93.04633
0.32107,59,32,109.82933
0.33326,69,33,127.43559
0.34142,79,34,139.22124
0.35345,88,35,156.59641
0.36134,90,36,167.9921
0.37334,91,37,185.32394
0.38134,91,38,196.8785
0.39308,90,39,213.83482
0.40203,80,40,226.76148
0.41429,71,41,244.46884
0.42201,61,42,255.61899
0.43429,52,43,273.35524
0.44229,44,44,284.9098
0.45428,34,45,302.2272
0.46228,25,46,313.78176
0.47428,15,47,331.1136
0.48229,7,48,342.6826
0.49428,0,49,360.0
0.5023,1,50,371.58345
0.51457,10,51,389.30525
0.52257,21,52,400.85981
0.53834,30,53,423.63674
0.54631,39,54,435.14797
0.5584,49,55,452.6098
0.56655,58,56,464.38101
0.57858,68,57,481.75618
0.58658,78,58,493.31074
0.59834,87,59,510.29594
0.60668,90,60,522.34157
0.61868,91,61,539.67341
0.62666,91,62,551.19908
0.63869,91,63,568.57425
0.64669,83,64,580.12881
0.65865,74,65,597.40288
0.66669,65,66,609.01521
0.67857,56,67,626.17373
0.68663,46,68,637.81495
0.69867,37,69,655.20456
0.70667,28,70,666.75912
0.72231,19,71,689.34829
0.73043,9,72,701.07617
0.74266,0,73,718.7402
0.7503,0,74,729.77481
0.76269,10,75,747.66993
0.77464,20,76,764.92956
0.78265,30,77,776.49856
0.79464,39,78,793.81596
0.80268,49,79,805.42829
0.81596,58,80,824.60886
0.8239,67,81,836.07676
0.83632,77,82,854.01521
0.84397,87,83,865.06426
0.85629,90,84,882.85828
0.86435,91,85,894.4995
0.87633,91,86,911.80246
0.88435,91,87,923.3859
0.89634,83,88,940.7033
0.90425,74,89,952.12787
0.91625,65,90,969.45971
0.92426,55,91,981.02871
0.93625,46,92,998.34611
0.94425,37,93,1009.90067
0.95998,28,94,1032.61982
0.96798,18,95,1044.17438
0.98025,9,96,1061.89619
0.98822,0,97,1073.40742
1.00025,0,98,1090.78259
1.00825,8,99,1102.33715
1.01998,17,100,1119.27902
1.02798,27,101,1130.83358
1.03998,37,102,1148.16542
1.04798,46,103,1159.71998
1.0603,56,104,1177.51401
1.06835,65,105,1189.14078
1.07997,74,106,1205.92378
1.08831,84,107,1217.96941
1.10035,91,108,1235.35902
1.10833,90,109,1246.8847
1.12398,91,110,1269.4883
1.13198,91,111,1281.04286
1.1442,84,112,1298.69245
1.15235,76,113,1310.46366
1.16427,67,114,1327.67996
1.17231,58,115,1339.29229
1.18436,48,116,1356.69635
1.19228,39,117,1368.13536
1.20401,30,118,1385.07723
1.21197,21,119,1396.57402
1.22417,11,120,1414.19472
1.23234,2,121,1425.99482
1.24433,0,122,1443.31222
1.25235,7,123,1454.89566
