t,angle,iteration,phase angle
0.0,51,1,-622.56564
0.00997,82,2,-613.7721
0.01795,88,3,-606.73374
0.02991,90,4,-596.18502
0.03789,91,5,-589.14666
0.05086,91,6,-577.70712
0.06881,91,7,-561.87522
0.0708,91,8,-560.12004
0.07878,91,9,-553.08168
0.09175,91,10,-541.64214
0.09973,90,11,-534.60378
0.12067,84,12,-516.1347
0.13264,72,13,-505.57716
0.14461,67,14,-495.01962
0.15259,61,15,-487.98126
0.16455,55,16,-477.43254
0.17353,49,17,-469.51218
0.1855,44,18,-458.95464
0.19348,38,19,-451.91628
0.20644,32,20,-440.48556
0.21442,26,21,-433.4472
0.23038,21,22,-419.37048
0.23437,15,23,-415.8513
0.24733,9,24,-404.42058
0.26429,3,25,-389.46186
0.26728,1,26,-386.82468
0.27526,1,27,-379.78632
0.28822,5,28,-368.3556
0.2962,11,29,-361.31724
0.31914,17,30,-341.08416
0.32911,28,31,-332.29062
0.33709,33,32,-325.25226
0.34906,39,33,-314.69472
0.35804,44,34,-306.77436
0.37,50,35,-296.22564
0.37799,56,36,-289.17846
0.39693,61,37,-272.47338
0.40292,67,38,-267.1902
0.4109,72,39,-260.15184
0.41887,78,40,-253.1223
0.43084,84,42,-242.56476
0.45378,89,43,-222.33168
0.45976,91,44,-217.05732
0.4827,91,45,-196.82424
0.49268,91,46,-188.02188
0.50066,91,47,-180.98352
0.51362,91,48,-169.5528
0.5216,88,49,-162.51444
0.53656,82,50,-149.31972
0.54155,76,51,-144.91854
0.55451,71,52,-133.48782
0.56249,65,53,-126.44946
0.57446,59,55,-115.89192
0.58244,53,56,-108.85356
0.5954,48,57,-97.42284
0.60338,42,58,-90.38448
0.61834,36,59,-77.18976
0.62333,31,60,-72.78858
0.6363,25,62,-61.34904
0.64427,19,63,-54.3195
0.65624,13,64,-43.76196
0.66522,8,65,-35.8416
0.67719,2,66,-25.28406
0.68516,1,67,-18.25452
0.69813,3,69,-6.81498
0.70611,9,70,0.22338
0.71807,14,71,10.7721
0.72605,20,72,17.81046
0.73902,25,73,29.25
0.747,31,74,36.28836
0.75897,36,75,46.8459
0.76694,42,76,53.87544
0.77891,47,77,64.43298
0.79188,53,78,75.87252
0.79986,58,79,82.91088
0.81482,64,80,96.1056
0.8208,70,81,101.37996
0.83277,75,82,111.9375
0.84673,81,83,124.25022
0.85272,86,84,129.5334
0.86169,91,85,137.44494
