t,angle,iteration
0.0,58,1
0.0,91,2
0.012,91,3
0.02003,90,4
0.032,80,6
0.044,71,7
0.05624,61,8
0.064,52,9
0.07638,44,11
0.08437,35,12
0.0962,25,13
0.10437,16,14
0.11638,7,15
0.12437,0,16
0.13455,1,17
0.14637,11,18
0.15855,21,19
0.16657,30,20
0.17848,39,22
0.18644,49,23
0.19844,58,24
0.20645,67,25
0.21836,77,26
0.22644,87,27
0.23845,90,29
0.24655,91,30
0.25855,91,31
0.26657,91,32
0.27856,83,33
0.28702,73,34
0.29907,64,35
0.30707,55,36
0.31928,45,37
0.33104,37,38
0.34303,28,39
0.35111,18,40
0.36304,9,41
0.37103,0,42
0.38304,0,43
0.39126,8,44
0.40337,18,45
0.41139,28,46
0.42339,37,47
0.43141,46,48
0.44339,56,49
0.45104,65,50
0.46337,74,52
0.47139,84,53
0.48339,91,54
0.49127,90,55
0.50703,91,56
0.51503,91,57
0.52723,83,58
0.53506,74,59
0.54707,66,60
0.55541,56,61
0.56739,47,62
0.57939,38,63
0.58703,29,64
0.59936,20,65
0.60739,10,66
0.61935,1,67
0.62738,0,68
0.63925,8,69
0.64731,17,70
0.65923,28,71
0.6673,37,72
0.68303,46,73
0.69103,56,74
0.70325,65,75
0.7113,74,76
0.7234,84,78
0.73139,91,79
0.74303,90,80
0.75135,91,81
0.76329,91,82
0.77125,84,83
0.7834,75,84
0.79138,67,85
0.80335,58,87
0.8114,48,88
0.82303,39,89
0.83141,30,90
0.84303,21,91
0.85503,12,92
0.86713,2,93
0.87539,1,94
0.88788,7,95
0.89591,15,96
0.9082,25,97
0.91625,35,98
0.92824,44,99
0.93614,53,100
0.94813,63,101
0.95612,73,102
0.96823,82,103
0.97624,92,104
0.98824,91,105
0.99615,90,106
1.00813,91,107
1.01588,87,108
1.02788,77,110
1.03588,68,111
1.04824,59,112
1.05988,50,113
1.07202,41,115
1.08023,32,116
1.09226,23,117
1.10026,14,118
1.11224,5,119
1.12016,1,120
1.13193,5,121
1.13988,14,122
1.15188,23,123
1.15989,32,124
1.17188,42,126
1.17988,51,127
1.19188,61,128
1.19988,71,129
1.21188,80,130
1.21988,89,131
1.23189,91,132
1.24788,91,133
1.25607,91,134
1.26809,90,135
1.27609,80,136
1.28823,71,137
1.29626,61,138
1.30826,52,139
1.31626,44,140
1.32826,35,141
1.33626,25,142
1.34823,16,143
1.35625,7,144
1.36926,0,145
1.37725,2,146
1.3892,12,148
1.39725,22,149
1.40985,30,150
1.41812,40,151
1.43012,50,152
1.43811,59,153
1.45012,68,155
1.45854,78,156
1.4708,87,157
1.47881,90,158
1.49081,91,159
1.49881,91,160
1.51456,90,161
1.52256,80,162
1.53467,71,163
1.54278,61,164
1.55459,52,165
1.56259,44,166
1.57459,35,167
1.58255,25,168
1.59492,16,169
1.60292,7,170
1.61492,0,171
1.62289,1,172
1.63482,11,174
1.64282,21,175
1.65482,30,176
1.66282,39,177
1.67482,49,178
1.68655,58,179
1.69855,68,180
1.70671,78,181
1.71883,87,182
1.72682,90,183
1.73882,91,185
1.74681,91,186
1.75877,91,187
1.76682,82,188
1.77856,73,189
1.78691,64,190
1.79893,54,192
1.80692,45,193
1.81889,36,194
1.82692,27,195
1.83893,18,196
1.84692,8,197
1.86255,0,199
1.87063,0,200
1.87966,9,201
1.89129,20,202
1.90339,29,204
1.91565,38,205
1.92392,48,206
1.93628,57,207
1.94428,67,208
1.95652,76,209
1.96454,86,210
1.97715,90,211
1.98519,90,212
1.99742,91,214
2.00534,91,215
2.01749,83,216
2.02514,74,217
2.03748,65,218
2.0455,55,219
2.05751,46,220
2.06548,37,221
2.07752,29,223
2.08551,19,224
2.09715,9,225
2.10551,1,226
2.11752,0,227
2.12552,8,228
2.14115,16,230
2.14915,26,231
2.16133,35,232
2.16941,44,233
2.18141,54,235
2.18941,64,236
2.20137,73,237
2.20942,82,238
2.22141,92,239
2.2294,91,240
2.24141,90,242
2.24941,91,243
2.26141,85,244
2.26942,76,245
2.28141,67,246
2.28941,59,247
2.30142,50,249
2.30942,40,250
2.32525,31,251
2.33344,22,252
2.34553,13,253
2.35344,4,254
2.36551,1,256
2.37352,6,257
2.38518,15,258
2.39353,23,259
2.4055,33,260
2.41364,43,261
2.42641,52,263
2.43441,61,264
2.4464,71,265
2.4544,80,266
2.46603,90,267
2.47433,91,268
2.48636,91,269
2.4944,91,270
2.50638,90,272
2.51804,81,273
2.52698,72,274
2.5392,62,275
2.54729,53,276
2.55901,44,277
2.56705,35,278
2.58301,26,279
2.59133,16,280
2.60304,8,281
2.611,0,282
2.62337,1,284
2.63137,9,285
2.64338,19,286
2.65136,29,287
2.66339,38,288
2.67139,47,289
2.68718,57,290
2.69105,66,291
2.70304,76,292
2.71104,86,293
2.72304,90,294
2.73104,90,295
2.74304,91,297
2.75504,91,298
2.76701,84,300
2.77504,76,301
2.78704,67,302
2.79504,58,303
2.80704,49,304
2.81501,39,305
2.82701,30,306
2.83504,22,307
2.84705,12,308
2.85504,3,309
2.86701,1,311
2.87501,8,312
2.887,16,313
2.895,27,314
2.90704,36,315
2.91901,45,316
2.93104,55,317
2.93904,64,318
2.951,74,319
2.95901,83,320
2.971,92,321
2.97901,90,322
2.991,91,323
2.99917,91,324
3.01118,86,325
3.01901,77,326
3.03104,68,328
3.0392,59,329
3.05174,50,330
3.05974,41,331
3.07174,31,332
3.07986,22,333
3.09553,14,335
3.10353,4,336
3.11577,1,337
3.12389,7,338
3.13591,15,339
3.14385,24,340
3.15578,34,341
3.16379,43,342
3.17557,52,343
3.18389,62,344
3.1959,72,345
3.20786,81,346
3.2158,90,347
3.22772,92,348
3.23579,90,349
3.24771,91,350
3.25959,87,351
3.27155,77,352
3.27955,68,353
3.29174,59,354
3.2998,51,355
3.31191,41,356
3.31989,32,357
3.3319,23,358
3.33976,14,359
3.35176,5,360
3.35956,1,361
3.37189,7,362
3.37991,15,363
3.3919,24,364
3.39989,34,365
3.41191,44,367
3.4199,53,368
3.4319,62,369
3.44353,72,370
3.4556,81,371
3.46379,91,372
3.47623,91,373
3.48429,90,374
3.49659,91,375
3.50474,88,376
3.51683,78,377
3.52486,69,378
3.53687,60,379
3.54481,51,380
3.55685,42,382
3.56462,32,383
3.57662,23,384
3.58458,14,385
3.59693,6,386
3.60495,1,387
3.61695,3,389
3.62496,13,390
3.63696,22,391
3.64495,31,392
3.66059,41,393
3.66858,51,394
3.68059,60,395
3.68859,69,396
3.70097,79,397
3.70896,88,398
3.72096,91,399
3.72885,91,400
3.74063,91,402
3.74863,90,403
3.76058,80,404
3.76896,71,405
3.78088,61,406
3.78896,52,407
3.80095,44,408
3.81288,35,409
3.82097,25,410
3.83659,16,411
3.84459,7,412
3.85664,0,413
3.86497,1,414
3.87686,12,415
3.88496,21,416
3.89695,30,417
3.90567,39,418
3.91799,49,419
3.92605,58,420
3.93795,68,421
3.94592,78,422
3.95795,87,423
3.96594,90,424
3.97794,91,425
3.98595,91,426
3.99796,90,427
4.00594,80,428
4.01795,70,430
4.02572,61,431
4.04168,52,432
4.04971,43,433
4.06185,34,434
4.07005,25,435
4.082,16,436
4.09005,7,437
4.10273,0,438
4.11041,2,439
4.12264,13,441
4.13064,22,442
4.14328,31,443
4.15122,40,444
4.16361,50,445
4.1716,59,446
4.18361,69,448
4.19161,79,449
4.20363,88,450
4.21162,90,451
4.22361,91,452
4.23159,91,453
4.24361,91,454
4.25162,82,455
4.26362,72,456
4.27198,63,457
4.28425,53,459
4.29226,45,460
4.30426,36,461
4.31599,27,462
4.328,17,463
4.33617,8,464
4.34862,0,465
4.35667,1,466
4.36889,10,467
4.37689,20,468
4.3889,29,470
4.3969,38,471
4.40882,48,472
4.41672,58,473
4.4289,67,475
4.43689,77,476
4.44863,86,477
4.45699,90,478
4.46899,91,479
4.48062,91,480
4.48895,91,481
4.50089,83,482
4.51262,74,483
4.52468,64,484
4.53289,55,485
4.54159,45,486
4.54977,37,487
4.56566,28,488
4.57359,18,489
4.58559,9,490
4.59397,0,491
4.60596,0,492
4.61461,8,493
4.62712,18,494
4.63529,28,495
4.64755,37,496
4.65572,46,497
4.66773,56,499
4.67571,65,500
4.68773,74,501
4.69573,84,502
4.70771,91,503
4.71562,90,504
4.72763,91,506
4.73564,91,507
4.74761,84,508
4.75562,75,509
4.76763,66,511
4.77573,57,512
4.78771,48,513
