t,angle,iteration
0.001,91,1
0.00599,91,2
0.01435,91,3
0.0267,91,4
0.03454,91,5
0.04622,84,6
0.0552,76,7
0.06717,68,8
0.07546,60,9
0.08811,53,10
0.09552,46,11
0.10853,38,12
0.11679,31,13
0.12893,23,15
0.13728,15,16
0.14944,8,17
0.15765,0,18
0.16997,0,19
0.17753,1,20
0.19037,7,21
0.19865,14,22
0.21261,23,23
0.21907,31,24
0.23144,39,25
0.24118,47,26
0.25126,54,27
0.25998,62,28
0.27239,70,29
0.28122,78,30
0.29287,86,31
0.30099,91,32
0.31318,90,33
0.32093,91,34
0.3338,91,36
0.34205,91,37
0.3541,84,38
0.3624,76,39
0.37441,68,40
0.38235,61,41
0.39531,53,43
0.40331,46,44
0.41526,38,45
0.42324,31,46
0.43621,23,47
0.44418,16,48
0.45615,8,49
0.46413,0,50
0.4771,1,51
0.48512,9,52
0.49704,18,53
0.50506,26,54
0.51799,33,55
0.52996,41,56
0.53797,49,57
0.54991,56,58
0.55889,64,59
0.57089,72,60
0.57882,80,61
0.59179,88,62
0.59981,90,63
0.61174,91,65
0.61971,91,66
0.63268,91,67
0.64054,90,68
0.65255,82,69
0.66149,74,70
0.67346,67,72
0.68143,59,73
0.6934,52,74
0.70238,44,75
0.71435,37,76
0.72232,29,77
0.7343,21,79
0.74327,14,80
0.75524,6,81
0.76322,0,82
0.77518,5,83
0.7842,13,84
0.79613,20,85
0.80411,27,86
0.81712,35,87
0.82512,43,88
0.83757,51,89
0.84574,59,90
0.85807,67,91
0.86607,75,92
0.87861,83,94
0.88674,91,95
0.89877,91,96
0.90662,91,97
0.91968,91,98
0.92794,91,99
0.93992,90,101
0.94826,82,102
0.96073,74,103
0.96868,67,104
0.98109,59,105
0.98896,52,106
1.00137,44,108
1.00975,37,109
1.02211,29,110
1.03027,21,111
1.04263,13,112
1.05053,6,113
1.06293,0,114
1.07092,3,115
1.08289,12,116
1.09173,19,117
1.10395,27,118
1.11191,34,119
1.12458,42,120
1.13211,50,121
1.14438,58,123
1.15734,66,124
1.1646,74,125
1.17771,82,126
1.18587,90,127
1.1973,91,128
1.20624,91,129
1.21839,91,130
1.2267,91,131
1.23919,89,133
1.24736,81,134
1.25964,73,135
1.26749,66,136
1.2795,58,137
1.28824,51,138
1.30054,43,140
1.30875,35,141
1.32095,28,142
1.32899,20,143
1.3415,12,144
1.34939,5,145
1.36168,0,147
1.36971,1,148
1.3828,1,149
1.39075,9,150
1.40264,18,151
1.41113,26,152
1.42373,33,153
1.43253,41,154
1.44395,49,155
1.45211,56,156
1.46354,64,157
1.47235,72,158
1.48499,80,159
1.49315,88,160
1.5054,90,161
1.51265,91,162
1.52543,91,163
1.53406,91,164
1.54598,90,165
1.5545,81,166
1.56678,74,168
1.57498,66,169
1.58703,59,170
1.59542,51,171
1.60777,44,172
1.61592,36,173
1.62795,28,174
1.63638,21,175
1.64873,13,176
1.65669,5,177
1.66895,0,178
1.677,5,179
1.68965,13,180
1.69728,20,181
1.71008,27,183
1.71741,35,184
1.73065,43,185
1.73883,51,186
1.75008,59,187
1.75905,67,188
1.77102,75,190
1.78299,83,191
1.79163,91,192
1.80443,91,193
1.81209,91,194
1.82481,91,195
1.83273,91,196
1.84544,89,197
1.85277,80,198
1.86574,73,200
1.87371,65,201
1.88568,58,202
1.89466,50,203
1.90663,43,204
1.9146,35,205
1.92657,27,207
1.93655,20,208
1.94752,12,209
1.9555,4,210
1.9674,1,211
1.97599,6,212
1.98843,13,213
1.99664,20,214
2.00879,28,215
2.01715,36,216
2.02972,44,217
2.03698,52,218
2.04925,60,219
2.05817,68,220
2.07012,76,221
2.07909,84,222
2.09006,91,223
2.09895,91,224
2.11172,91,225
2.11929,91,226
2.13161,91,227
