t,angle,iteration
0.0,79,1
0.00598,80,2
0.01767,86,3
0.02677,91,4
0.03865,91,5
0.04663,91,6
0.05952,91,7
0.06754,91,8
0.07951,91,9
0.08749,91,10
0.10045,91,12
0.10843,86,13
0.12039,81,14
0.12837,75,15
0.14134,69,16
0.14932,63,17
0.16129,58,19
0.16926,52,20
0.18223,46,21
0.18948,41,22
0.20273,35,23
0.21071,30,24
0.2232,24,26
0.23104,18,27
0.24301,12,28
0.25169,7,29
0.26374,1,30
0.27171,0,31
0.28465,5,32
0.29262,10,33
0.30515,15,34
0.31336,20,35
0.32507,26,36
0.33299,31,37
0.34628,37,38
0.35522,42,39
0.36649,48,40
0.37493,53,41
0.38691,59,42
0.39539,64,43
0.40727,70,44
0.41544,75,45
0.42733,81,47
0.43674,86,48
0.44851,91,49
0.46073,91,50
0.46917,91,51
0.48138,91,52
0.48945,91,53
0.50179,91,54
0.50966,91,55
0.52277,91,57
0.53029,86,58
0.54279,80,59
0.55076,75,60
0.56297,69,61
0.57079,63,62
0.58341,57,63
0.59195,52,64
0.60419,46,65
0.61222,40,66
0.62473,35,67
0.63292,29,68
0.64435,24,70
0.65295,18,71
0.66547,12,72
0.67397,6,73
0.68595,1,74
0.69393,0,75
0.70685,4,76
0.71481,9,77
0.72674,14,78
0.73524,19,79
0.74762,25,80
0.75566,30,81
0.7683,36,82
0.77628,41,83
0.78845,47,84
0.79686,52,85
0.80812,58,86
0.81664,63,87
0.82951,69,88
0.83766,74,89
0.84985,80,91
0.85752,85,92
0.87078,91,93
0.87861,91,94
0.89006,91,95
0.899,91,96
0.91119,91,98
0.91961,91,99
0.93177,91,100
0.94014,91,101
0.95238,86,102
0.96059,81,103
0.97195,75,104
0.98094,70,105
0.99337,64,106
1.00152,59,107
1.01362,53,108
1.02202,47,109
1.03419,41,110
1.04221,36,111
1.05456,30,113
1.06628,25,114
1.07525,19,115
1.08675,13,116
1.09473,7,117
1.10769,2,118
1.11571,0,119
1.12768,5,120
1.13662,10,121
1.14859,15,122
1.15657,20,123
1.16853,26,124
1.17751,31,125
1.18948,37,126
1.19789,42,127
1.20986,48,128
1.21788,53,129
1.2304,59,130
1.23841,64,131
1.25082,70,132
1.25879,75,133
1.27176,81,134
1.27994,86,135
1.29134,91,136
1.30032,91,137
1.31229,91,138
1.32026,91,139
1.33323,91,140
1.34121,91,141
1.35318,91,142
1.36116,91,143
1.37412,85,144
1.3821,80,145
1.39407,74,147
1.40205,68,148
1.41501,62,149
1.42299,57,150
1.43496,51,151
1.4437,46,152
1.45567,40,154
1.46365,34,155
1.47565,28,156
1.48403,23,157
1.49685,17,158
1.50521,11,159
1.51732,6,161
1.52533,0,162
1.53904,0,163
1.54543,5,164
1.55859,10,165
1.56633,15,166
1.57821,20,168
1.58726,26,169
1.59949,32,170
1.60728,37,171
1.61903,42,172
1.62792,48,173
1.63983,54,174
1.64867,59,175
1.66066,65,176
1.66918,70,177
1.68135,76,178
1.6896,81,179
1.70171,87,180
1.71397,91,181
1.72266,91,182
1.73459,91,183
1.74242,91,184
1.75438,91,185
1.76236,91,186
1.77447,91,187
1.78309,91,188
1.79531,85,189
1.80434,80,190
1.81577,74,191
1.8241,68,192
1.83701,62,193
1.8448,56,194
1.85682,51,195
1.86583,45,196
1.87792,40,198
1.88616,34,199
1.8985,28,200
1.90581,23,201
1.91894,17,202
1.92721,11,203
1.93886,5,205
1.94752,0,206
1.95997,0,207
1.96813,5,208
1.98044,10,209
1.98818,15,210
2.00085,21,211
2.00908,27,212
2.02255,32,213
2.02935,37,214
2.04185,43,215
2.0498,48,216
2.06234,54,217
2.07033,59,218
2.08249,65,220
2.09103,71,221
2.10309,76,222
2.11111,82,223
2.12304,87,224
2.13105,91,225
2.14422,91,227
2.15245,91,228
2.16415,91,229
2.17282,91,230
2.18487,91,231
2.19303,91,232
2.20568,91,233
2.21396,85,234
2.22616,79,235
2.23388,73,236
2.24654,68,237
2.25487,62,238
2.26695,56,239
2.27468,51,240
2.28756,45,241
2.29585,39,242
2.30814,33,243
2.32236,28,244
2.32841,22,245
2.34088,17,246
2.34899,11,247
2.36037,5,248
2.36963,0,249
2.38182,1,250
2.38992,7,251
2.40205,12,252
2.41008,18,253
2.42279,23,254
2.43085,29,255
2.44223,34,256
2.4513,40,257
2.46377,45,258
2.47147,51,259
2.48352,56,260
2.49245,62,261
2.50471,67,262
2.51292,73,263
2.52479,78,264
2.53241,84,265
2.54565,89,266
2.55364,91,267
2.56587,91,269
2.57427,91,270
2.58654,91,271
2.59455,91,272
2.60683,91,273
2.61519,91,274
2.62736,89,276
2.63577,83,277
2.64726,77,278
2.65627,72,279
2.6674,66,280
2.67638,60,281
2.68902,55,282
2.69742,49,283
2.70951,43,284
