t,angle,iteration,phase angle
0.0,80,1,-354.19427
0.00997,6,2,-337.70548
0.01798,17,3,-324.45822
0.03092,28,4,-303.05753
0.03889,39,5,-289.87643
0.05086,50,6,-270.07996
0.05887,61,7,-256.8327
0.07184,73,8,-235.3824
0.07982,84,9,-222.18476
0.09178,91,10,-202.40483
0.10375,90,11,-182.60837
0.11273,91,12,-167.75688
0.12469,91,13,-147.97696
0.13267,81,14,-134.77931
0.14464,71,15,-114.98285
0.15359,59,16,-100.18098
0.16556,49,17,-80.38452
0.17354,38,18,-67.18687
0.18653,27,19,-45.70349
0.19451,16,20,-32.50585
0.20645,6,21,-12.759
0.21445,1,22,0.47172
0.2274,1,23,21.88895
0.23537,13,24,35.07006
0.24737,24,25,54.91614
0.25535,35,26,68.11378
0.26831,46,28,89.54754
0.27628,58,29,102.72865
0.28823,69,30,122.49204
0.29624,80,31,135.7393
0.30921,91,32,157.1896
0.31715,91,33,170.32109
0.32912,90,35,190.11756
0.3381,91,36,204.96904
0.35006,86,37,224.74896
0.35804,75,38,237.94661
0.37001,64,39,257.74307
0.37899,54,40,272.59456
0.39095,43,42,292.37448
0.39893,32,43,305.57213
0.4109,21,44,325.36859
0.41988,10,45,340.22007
0.43184,0,46,360.0
0.43982,0,47,373.19764
0.45279,11,48,394.64795
0.46077,23,49,407.84559
0.47273,34,50,427.62552
0.48075,45,51,440.88931
0.49371,56,52,462.32308
0.50169,67,53,475.52072
0.51365,78,54,495.30065
0.52161,90,55,508.46522
0.5346,91,56,529.9486
0.54255,91,57,543.09663
0.55454,91,58,562.92617
0.56253,89,59,576.14035
0.57549,77,60,597.57412
0.58347,66,61,610.77176
0.59541,55,62,630.51861
0.60438,44,63,645.35355
0.61638,33,64,665.19963
0.62436,22,65,678.39728
0.6363,12,66,698.14413
0.64527,1,67,712.97907
0.65724,0,69,732.77554
0.66522,9,70,745.97318
0.67719,20,71,765.76964
0.68619,31,72,780.6542
0.69816,42,73,800.45067
0.70614,53,74,813.64831
0.71811,65,76,833.44478
0.72709,76,77,848.29626
0.73905,87,78,868.07619
0.75099,90,79,887.82304
0.75997,91,80,902.67452
0.77197,91,81,922.5206
0.77991,90,82,935.65209
0.79191,78,83,955.49817
0.80089,67,84,970.34965
0.81286,56,85,990.14612
0.82083,45,86,1003.32722
0.83277,35,87,1023.07407
0.84178,24,88,1037.97517
0.85372,13,89,1057.72202
0.86172,2,90,1070.95274
0.8737,0,92,1090.76574
0.88267,9,93,1105.60069
0.89464,19,94,1125.39715
0.90262,31,95,1138.5948
0.91558,42,96,1160.02856
0.92356,53,97,1173.2262
