t,angle,iteration,phase angle
0.001,90,1,-552.18842
0.00898,91,2,-539.01376
0.02094,91,3,-519.26828
0.02892,90,4,-506.09362
0.04189,79,5,-484.68066
0.04987,68,6,-471.506
0.06184,57,7,-451.74401
0.06981,46,8,-438.58586
0.08278,36,10,-417.17291
0.09076,25,11,-403.99825
0.10272,14,12,-384.25277
0.1107,3,13,-371.07811
0.12367,1,14,-349.66516
0.13165,6,15,-336.4905
0.14362,17,17,-316.7285
0.15159,28,18,-303.57035
0.16456,39,19,-282.1574
0.17254,50,20,-268.98274
0.1845,61,21,-249.23726
0.19248,73,22,-236.0626
0.20545,84,24,-214.64965
0.21343,91,25,-201.47499
0.2254,90,26,-181.713
0.23437,91,27,-166.90388
0.24634,91,28,-147.14189
0.25432,82,29,-133.96723
0.26632,72,30,-114.15571
0.27928,61,31,-92.75927
0.28723,50,32,-79.63414
0.2992,39,33,-59.87215
0.30721,28,34,-46.64796
0.32017,17,35,-25.25152
0.32813,6,36,-12.10987
0.34009,1,37,7.63561
0.34807,1,38,20.81027
0.36103,13,39,42.20671
0.36901,24,40,55.38137
0.38098,35,41,75.14336
0.38996,46,42,89.96898
0.40193,58,43,109.73097
0.4099,69,44,122.88912
0.42187,80,45,142.65112
0.43085,91,46,157.47674
0.44282,91,47,177.23873
0.45079,90,48,190.39688
0.46376,91,49,211.80983
0.47174,85,50,224.98449
0.48371,74,51,244.74648
0.49168,64,52,257.90463
0.50465,53,53,279.31758
0.51263,42,54,292.49225
0.5246,31,55,312.25424
0.53258,20,56,325.4289
0.54554,9,57,346.82534
0.55352,0,58,360.0
0.56549,1,60,379.76199
0.57347,9,61,392.93665
0.58643,20,62,414.33309
0.59441,31,63,427.50775
0.60638,43,64,447.26975
0.61436,54,65,460.44441
0.62732,65,67,481.84085
0.6353,76,68,495.01551
0.64727,88,69,514.7775
0.65624,90,70,529.58661
0.66821,91,71,549.3486
0.67619,91,72,562.52326
0.68816,90,73,582.28525
0.69714,78,74,597.11088
0.7091,67,75,616.85636
0.71709,56,76,630.04753
0.73005,46,77,651.44397
0.73803,35,78,664.61863
0.74999,24,79,684.36411
0.75797,13,80,697.53877
0.77094,2,81,718.95172
0.77892,0,82,732.12638
0.79089,8,83,751.88838
0.79886,19,84,765.04653
0.81183,30,85,786.45948
0.81981,41,86,799.63414
0.83178,52,87,819.39613
0.83975,64,88,832.55428
0.85272,75,89,853.96723
0.8607,86,90,867.14189
0.87267,90,91,886.90388
0.88064,91,92,900.06204
0.89361,91,93,921.47499
0.90159,91,94,934.64965
0.91356,81,95,954.41164
0.92253,70,96,969.22075
0.9345,59,97,988.98274
0.94647,49,98,1008.74473
0.95445,38,99,1021.91939
0.96741,27,100,1043.31583
0.97539,16,101,1056.4905
0.98736,5,102,1076.25249
0.99534,1,103,1089.42715
1.0083,2,104,1110.82359
1.01628,15,105,1123.99825
1.02825,26,106,1143.76024
1.03723,37,107,1158.58586
1.04919,48,109,1178.33134
