t,angle,iteration,phase angle
2.24344,91,235,2006.51864
2.25536,91,236,2016.73599
2.26414,86,237,2024.26186
2.2762,80,238,2034.59921
2.28857,75,239,2045.20227
2.29675,69,240,2052.21384
2.30892,63,241,2062.64548
2.31719,58,242,2069.73419
2.32951,52,243,2080.29441
2.33793,46,244,2087.51169
2.34997,41,245,2097.8319
2.3578,35,246,2104.54346
2.37,29,247,2115.00081
2.37881,24,248,2122.55239
2.39094,18,249,2132.94974
2.39912,12,250,2139.96131
2.41117,7,251,2150.29009
2.4196,1,252,2157.51595
2.43197,0,253,2168.11902
2.4398,5,254,2174.83058
2.45183,10,256,2185.14222
2.46022,15,257,2192.33379
2.47319,20,258,2203.45115
2.48106,26,259,2210.197
2.49331,32,260,2220.69721
2.50124,37,261,2227.49449
2.51383,42,263,2238.28614
2.52223,48,264,2245.48628
2.53432,54,265,2255.84934
2.54255,59,266,2262.90377
2.55479,64,267,2273.39541
2.56319,70,268,2280.59555
2.57535,76,269,2291.01862
2.58344,81,270,2297.95304
2.59523,86,271,2308.05896
2.60395,91,272,2315.5334
2.61616,91,273,2325.99932
2.62437,91,274,2333.0366
2.63667,91,275,2343.57967
2.6448,91,276,2350.54838
2.65713,91,277,2361.11716
2.66535,91,278,2368.16302
2.6772,91,279,2378.32037
2.68578,85,280,2385.6748
2.69808,80,281,2396.21787
2.70629,74,282,2403.25515
2.71862,69,283,2413.82393
2.72673,63,284,2420.7755
2.73908,57,285,2431.36143
2.74674,52,286,2437.92727
2.75951,46,287,2448.87321
2.76772,40,288,2455.91049
2.77997,34,290,2466.4107
2.7882,29,291,2473.46513
2.80056,23,292,2484.05962
2.80863,18,293,2490.9769
2.82073,12,294,2501.34854
2.82916,6,295,2508.5744
2.84144,1,297,2519.10032
2.84966,0,298,2526.14618
2.86111,5,299,2535.96066
2.86909,11,300,2542.8008
2.88205,17,301,2553.90959
2.89005,22,302,2560.76687
2.90234,28,304,2571.30137
2.91078,33,305,2578.5358
2.92266,39,306,2588.71886
2.93561,44,307,2599.81908
2.9438,49,308,2606.83922
2.95596,55,309,2617.26229
2.96439,61,310,2624.48815
2.97685,66,311,2635.16836
2.98483,72,312,2642.0085
2.99709,77,314,2652.51728
