t,angle,iteration,phase angle
0.0,79,1,127.68795
0.00598,80,2,132.80085
0.01767,86,3,142.7958
0.02677,91,4,150.5763
0.03865,91,5,160.7337
0.04663,91,6,167.5566
0.05952,91,7,178.57755
0.06754,91,8,185.43465
0.07951,91,9,195.669
0.08749,91,10,202.4919
0.10045,91,12,213.5727
0.10843,86,13,220.3956
0.12039,81,14,230.6214
0.12837,75,15,237.4443
0.14134,69,16,248.53365
0.14932,63,17,255.35655
0.16129,58,19,265.5909
0.16926,52,20,272.40525
0.18223,46,21,283.4946
0.18948,41,22,289.69335
0.20273,35,23,301.0221
0.21071,30,24,307.845
0.2232,24,26,318.52395
0.23104,18,27,325.22715
0.24301,12,28,335.4615
0.25169,7,29,342.8829
0.26374,1,30,353.18565
0.27171,0,31,360.0
0.28465,5,32,371.0637
0.29262,10,33,377.87805
0.30515,15,34,388.5912
0.31336,20,35,395.61075
0.32507,26,36,405.6228
0.33299,31,37,412.3944
0.34628,37,38,423.75735
0.35522,42,39,431.40105
0.36649,48,40,441.0369
0.37493,53,41,448.2531
0.38691,59,42,458.496
0.39539,64,43,465.7464
0.40727,70,44,475.9038
0.41544,75,45,482.88915
0.42733,81,47,493.0551
0.43674,86,48,501.10065
0.44851,91,49,511.164
0.46073,91,50,521.6121
0.46917,91,51,528.8283
0.48138,91,52,539.26785
0.48945,91,53,546.1677
0.50179,91,54,556.7184
0.50966,91,55,563.44725
0.52277,91,57,574.6563
0.53029,86,58,581.0859
0.54279,80,59,591.7734
0.55076,75,60,598.58775
0.56297,69,61,609.0273
0.57079,63,62,615.7134
0.58341,57,63,626.5035
0.59195,52,64,633.8052
0.60419,46,65,644.2704
0.61222,40,66,651.13605
0.62473,35,67,661.8321
0.63292,29,68,668.83455
0.64435,24,70,678.6072
0.65295,18,71,685.9602
0.66547,12,72,696.6648
0.67397,6,73,703.9323
0.68595,1,74,714.1752
0.69393,0,75,720.9981
0.70685,4,76,732.0447
0.71481,9,77,738.8505
0.72674,14,78,749.05065
0.73524,19,79,756.31815
0.74762,25,80,766.90305
0.75566,30,81,773.77725
0.7683,36,82,784.58445
0.77628,41,83,791.40735
0.78845,47,84,801.8127
0.79686,52,85,809.00325
0.80812,58,86,818.63055
0.81664,63,87,825.91515
0.82951,69,88,836.919
0.83766,74,89,843.88725
0.84985,80,91,854.3097
0.85752,85,92,860.86755
0.87078,91,93,872.20485
0.87861,91,94,878.8995
0.89006,91,95,888.68925
0.899,91,96,896.33295
0.91119,91,98,906.7554
0.91961,91,99,913.9545
0.93177,91,100,924.3513
0.94014,91,101,931.50765
0.95238,86,102,941.97285
0.96059,81,103,948.9924
0.97195,75,104,958.7052
0.98094,70,105,966.39165
0.99337,64,106,977.0193
1.00152,59,107,983.98755
1.01362,53,108,994.33305
1.02202,47,109,1001.51505
1.03419,41,110,1011.9204
1.04221,36,111,1018.7775
1.05456,30,113,1029.33675
1.06628,25,114,1039.35735
1.07525,19,115,1047.0267
1.08675,13,116,1056.8592
1.09473,7,117,1063.6821
1.10769,2,118,1074.7629
1.11571,0,119,1081.62
1.12768,5,120,1091.85435
1.13662,10,121,1099.49805
1.14859,15,122,1109.7324
1.15657,20,123,1116.5553
1.16853,26,124,1126.7811
1.17751,31,125,1134.459
1.18948,37,126,1144.69335
1.19789,42,127,1151.8839
1.20986,48,128,1162.11825
1.21788,53,129,1168.97535
1.2304,59,130,1179.67995
1.23841,64,131,1186.5285
1.25082,70,132,1197.13905
1.25879,75,133,1203.9534
1.27176,81,134,1215.04275
1.27994,86,135,1222.03665
1.29134,91,136,1231.78365
1.30032,91,137,1239.46155
1.31229,91,138,1249.6959
1.32026,91,139,1256.51025
1.33323,91,140,1267.5996
1.34121,91,141,1274.4225
1.35318,91,142,1284.65685
1.36116,91,143,1291.47975
1.37412,85,144,1302.56055
1.3821,80,145,1309.38345
1.39407,74,147,1319.6178
1.40205,68,148,1326.4407
1.41501,62,149,1337.5215
1.42299,57,150,1344.3444
1.43496,51,151,1354.57875
1.4437,46,152,1362.05145
1.45567,40,154,1372.2858
1.46365,34,155,1379.1087
1.47565,28,156,1389.3687
1.48403,23,157,1396.5336
1.49685,17,158,1407.4947
1.50521,11,159,1414.6425
1.51732,6,161,1424.99655
1.52533,0,162,1431.8451
1.53904,0,163,1443.56715
1.54543,5,164,1449.0306
1.55859,10,165,1460.2824
1.56633,15,166,1466.9001
1.57821,20,168,1477.0575
1.58726,26,169,1484.79525
1.59949,32,170,1495.2519
1.60728,37,171,1501.91235
1.61903,42,172,1511.9586
1.62792,48,173,1519.55955
1.63983,54,174,1529.7426
1.64867,59,175,1537.3008
1.66066,65,176,1547.55225
1.66918,70,177,1554.83685
1.68135,76,178,1565.2422
1.6896,81,179,1572.29595
1.70171,87,180,1582.65
1.71397,91,181,1593.1323
1.72266,91,182,1600.56225
1.73459,91,183,1610.7624
1.74242,91,184,1617.45705
1.75438,91,185,1627.68285
1.76236,91,186,1634.50575
1.77447,91,187,1644.8598
1.78309,91,188,1652.2299
1.79531,85,189,1662.678
1.80434,80,190,1670.39865
1.81577,74,191,1680.1713
1.8241,68,192,1687.29345
1.83701,62,193,1698.3315
1.8448,56,194,1704.99195
1.85682,51,195,1715.26905
1.86583,45,196,1722.9726
1.87792,40,198,1733.30955
1.88616,34,199,1740.35475
1.8985,28,200,1750.90545
1.90581,23,201,1757.1555
1.91894,17,202,1768.38165
1.92721,11,203,1775.4525
1.93886,5,205,1785.41325
1.94752,0,206,1792.81755
1.95997,0,207,1803.4623
1.96813,5,208,1810.4391
1.98044,10,209,1820.96415
1.98818,15,210,1827.58185
2.00085,21,211,1838.4147
2.00908,27,212,1845.45135
2.02255,32,213,1856.9682
2.02935,37,214,1862.7822
2.04185,43,215,1873.4697
2.0498,48,216,1880.26695
2.06234,54,217,1890.98865
2.07033,59,218,1897.8201
2.08249,65,220,1908.2169
2.09103,71,221,1915.5186
2.10309,76,222,1925.8299
2.11111,82,223,1932.687
2.12304,87,224,1942.88715
2.13105,91,225,1949.7357
2.14422,91,227,1960.99605
2.15245,91,228,1968.0327
2.16415,91,229,1978.0362
2.17282,91,230,1985.44905
2.18487,91,231,1995.7518
2.19303,91,232,2002.7286
2.20568,91,233,2013.54435
2.21396,85,234,2020.62375
2.22616,79,235,2031.05475
2.23388,73,236,2037.65535
2.24654,68,237,2048.47965
2.25487,62,238,2055.6018
2.26695,56,239,2065.9302
2.27468,51,240,2072.53935
2.28756,45,241,2083.55175
2.29585,39,242,2090.6397
2.30814,33,243,2101.14765
2.32236,28,244,2113.30575
2.32841,22,245,2118.4785
2.34088,17,246,2129.14035
2.34899,11,247,2136.0744
2.36037,5,248,2145.8043
2.36963,0,249,2153.7216
2.38182,1,250,2164.14405
2.38992,7,251,2171.06955
2.40205,12,252,2181.4407
2.41008,18,253,2188.30635
2.42279,23,254,2199.1734
2.43085,29,255,2206.0647
2.44223,34,256,2215.7946
2.4513,40,257,2223.54945
2.46377,45,258,2234.2113
2.47147,51,259,2240.7948
2.48352,56,260,2251.09755
2.49245,62,261,2258.7327
2.50471,67,262,2269.215
2.51292,73,263,2276.23455
2.52479,78,264,2286.3834
2.53241,84,265,2292.8985
2.54565,89,266,2304.2187
2.55364,91,267,2311.05015
2.56587,91,269,2321.5068
2.57427,91,270,2328.6888
2.58654,91,271,2339.17965
2.59455,91,272,2346.0282
2.60683,91,273,2356.5276
2.61519,91,274,2363.6754
2.62736,89,276,2374.08075
2.63577,83,277,2381.2713
2.64726,77,278,2391.09525
2.65627,72,279,2398.7988
2.6674,66,280,2408.31495
2.67638,60,281,2415.99285
2.68902,55,282,2426.80005
2.69742,49,283,2433.98205
2.70951,43,284,2444.319
2.71769,38,285,2451.3129
2.72963,32,286,2461.5216
2.73811,26,287,2468.772
2.75033,21,288,2479.2201
2.7579,15,289,2485.69245
2.77092,9,290,2496.82455
2.77907,4,291,2503.7928
2.79135,1,292,2514.2922
2.79955,1,293,2521.3032
2.81134,7,294,2531.38365
2.82003,12,295,2538.8136
2.83227,18,296,2549.2788
2.83999,23,297,2555.8794
2.85251,29,298,2566.584
2.86045,34,299,2573.3727
2.87296,40,300,2584.06875
2.88083,45,301,2590.7976
2.89345,51,303,2601.5877
2.90196,56,304,2608.86375
2.91424,62,305,2619.36315
2.92178,67,306,2625.80985
2.93432,73,307,2636.53155
2.94296,78,308,2643.91875
2.95564,84,310,2654.76015
2.9675,89,311,2664.90045
2.97572,91,312,2671.92855
2.98796,91,313,2682.39375
2.99587,91,314,2689.1568
3.00741,91,315,2699.0235
3.01632,91,316,2706.64155
3.02892,91,317,2717.41455
3.03657,91,318,2723.9553
3.04876,90,319,2734.37775
3.05714,84,320,2741.54265
3.06997,78,321,2752.5123
3.07767,73,322,2759.0958
3.09014,67,323,2769.75765
3.09817,61,324,2776.6233
3.11081,55,325,2787.4305
3.11815,50,326,2793.7062
3.13049,44,327,2804.2569
3.13847,38,328,2811.0798
3.15143,33,329,2822.1606
3.15941,27,330,2828.9835
3.17138,21,332,2839.21785
3.18036,16,333,2846.89575
3.19279,10,334,2857.5234
3.20088,4,335,2864.44035
3.21332,0,336,2875.07655
3.22149,1,337,2882.0619
3.23343,5,339,2892.2706
3.24204,10,340,2899.63215
3.25486,15,341,2910.59325
3.26151,21,342,2916.279
3.27471,26,343,2927.565
3.28267,32,344,2934.3708
3.29425,37,345,2944.2717
3.30335,43,346,2952.0522
3.3154,48,347,2962.35495
3.32307,54,348,2968.9128
3.33618,59,349,2980.12185
3.34424,65,350,2987.01315
3.35664,70,351,2997.61515
3.36481,76,352,3004.6005
