t,angle,iteration,phase angle
0.001,91,1,172.32077
0.00599,91,2,178.29919
0.01435,91,3,188.31514
0.0267,91,4,203.11142
0.03454,91,5,212.50437
0.04622,84,6,226.49795
0.0552,76,7,237.2567
0.06717,68,8,251.59772
0.07546,60,9,261.5298
0.08811,53,10,276.68552
0.09552,46,11,285.56329
0.10853,38,12,301.15031
0.11679,31,13,311.04645
0.12893,23,15,325.59114
0.13728,15,16,335.59511
0.14944,8,17,350.16376
0.15765,0,18,360.0
0.16997,0,19,374.76035
0.17753,1,20,383.81783
0.19037,7,21,399.20118
0.19865,14,22,409.12128
0.21261,23,23,425.84648
0.21907,31,24,433.58607
0.23144,39,25,448.40632
0.24118,47,26,460.07562
0.25126,54,27,472.15227
0.25998,62,28,482.59953
0.27239,70,29,497.4677
0.28122,78,30,508.04675
0.29287,86,31,522.00438
0.30099,91,32,531.73279
0.31318,90,33,546.33738
0.32093,91,34,555.6225
0.3338,91,36,571.04179
0.34205,91,37,580.92595
0.3541,84,38,595.36282
0.3624,76,39,605.30688
0.37441,68,40,619.69582
0.38235,61,41,629.20858
0.39531,53,43,644.73569
0.40331,46,44,654.32033
0.41526,38,45,668.63739
0.42324,31,46,678.19807
0.43621,23,47,693.73716
0.44418,16,48,703.28586
0.45615,8,49,717.62688
0.46413,0,50,727.18756
0.4771,1,51,742.72666
0.48512,9,52,752.33526
0.49704,18,53,766.61637
0.50506,26,54,776.22497
0.51799,33,55,791.71615
0.52996,41,56,806.05716
0.53797,49,57,815.65379
0.54991,56,58,829.95886
0.55889,64,59,840.71762
0.57089,72,60,855.09458
0.57882,80,61,864.59535
0.59179,88,62,880.13445
0.59981,90,63,889.74305
0.61174,91,65,904.03615
0.61971,91,66,913.58484
0.63268,91,67,929.12394
0.64054,90,68,938.54085
0.65255,82,69,952.92979
0.66149,74,70,963.64063
0.67346,67,72,977.98164
0.68143,59,73,987.53034
0.6934,52,74,1001.87136
0.70238,44,75,1012.63012
0.71435,37,76,1026.97114
0.72232,29,77,1036.51983
0.7343,21,79,1050.87283
0.74327,14,80,1061.61961
0.75524,6,81,1075.96063
0.76322,0,82,1085.52131
0.77518,5,83,1099.85034
0.7842,13,84,1110.65702
0.79613,20,85,1124.95012
0.80411,27,86,1134.5108
0.81712,35,87,1150.09782
0.82512,43,88,1159.68246
0.83757,51,89,1174.59855
0.84574,59,90,1184.38687
0.85807,67,91,1199.15919
0.86607,75,92,1208.74383
0.87861,83,94,1223.76776
0.88674,91,95,1233.50815
0.89877,91,96,1247.92105
0.90662,91,97,1257.32598
0.91968,91,98,1272.9729
0.92794,91,99,1282.86904
0.93992,90,101,1297.22204
0.94826,82,102,1307.21403
0.96073,74,103,1322.15409
0.96868,67,104,1331.67882
0.98109,59,105,1346.547
0.98896,52,106,1355.97588
1.00137,44,108,1370.84406
1.00975,37,109,1380.88397
1.02211,29,110,1395.69224
1.03027,21,111,1405.46857
1.04263,13,112,1420.27684
1.05053,6,113,1429.74167
1.06293,0,114,1444.59786
1.07092,3,115,1454.17052
1.08289,12,116,1468.51154
1.09173,19,117,1479.10257
1.10395,27,118,1493.7431
1.11191,34,119,1503.27982
1.12458,42,120,1518.45949
1.13211,50,121,1527.48104
1.14438,58,123,1542.18148
1.15734,66,124,1557.7086
1.1646,74,125,1566.40666
1.17771,82,126,1582.11348
1.18587,90,127,1591.88982
1.1973,91,128,1605.58387
1.20624,91,129,1616.29471
1.21839,91,130,1630.85138
1.2267,91,131,1640.80742
1.23919,89,133,1655.77144
1.24736,81,134,1665.55976
1.25964,73,135,1680.27218
1.26749,66,136,1689.67711
1.2795,58,137,1704.06605
1.28824,51,138,1714.53727
1.30054,43,140,1729.27365
1.30875,35,141,1739.10989
1.32095,28,142,1753.72646
1.32899,20,143,1763.35903
1.3415,12,144,1778.34701
1.34939,5,145,1787.79986
1.36168,0,147,1802.52426
1.36971,1,148,1812.14484
1.3828,1,149,1827.82771
1.39075,9,150,1837.35245
1.40264,18,151,1851.59762
1.41113,26,152,1861.76932
1.42373,33,153,1876.86513
1.43253,41,154,1887.40823
1.44395,49,155,1901.0903
1.45211,56,156,1910.86664
1.46354,64,157,1924.56069
1.47235,72,158,1935.11578
1.48499,80,159,1950.25951
1.49315,88,160,1960.03584
1.5054,90,161,1974.71232
1.51265,91,162,1983.3984
1.52543,91,163,1998.70986
1.53406,91,164,2009.04929
1.54598,90,165,2023.33041
1.5545,81,166,2033.53805
1.56678,74,168,2048.25047
1.57498,66,169,2058.07473
1.58703,59,170,2072.51159
1.59542,51,171,2082.56348
1.60777,44,172,2097.35977
1.61592,36,173,2107.12412
1.62795,28,174,2121.53702
1.63638,21,175,2131.63684
1.64873,13,176,2146.43313
1.65669,5,177,2155.96984
1.66895,0,178,2170.6583
1.677,5,179,2180.30285
1.68965,13,180,2195.45856
1.69728,20,181,2204.59991
1.71008,27,183,2219.93533
1.71741,35,184,2228.71726
1.73065,43,185,2244.57984
1.73883,51,186,2254.38013
1.75008,59,187,2267.85853
1.75905,67,188,2278.60531
1.77102,75,190,2292.94633
