t,angle,iteration

0.002,37,1

0.003,37,2

0.003,33,3

0.003,30,4

0.004,26,5

0.004,23,6

0.005,19,7

0.005,16,8

0.006,37,9

0.007,37,10

0.007,37,11

0.007,37,12

0.008,37,13

0.008,37,14

0.008,37,15

0.008,37,16

0.008,33,17

0.009,30,18

0.009,26,19

0.009,23,20

0.009,19,21

0.009,16,22

0.01,13,23

0.01,13,24

0.01,13,25

0.011,13,26

0.011,13,27

0.011,13,28

0.012,13,29

0.012,13,30

0.013,13,31

0.013,13,32

0.013,13,33

0.013,13,34

0.014,13,35

0.014,12,36

0.014,8,37

0.014,5,38

0.015,1,39

0.015,2,40

0.015,6,41

0.015,9,42

0.016,13,43

0.016,16,44

0.017,20,45

0.017,23,46

0.018,27,47

0.018,30,48

0.018,34,49

0.018,37,50

0.019,41,51

0.019,44,52

0.019,48,53

0.019,51,54

0.02,55,55

0.02,56,56

0.02,52,57

0.02,49,58

0.021,46,59

0.021,43,60

0.022,39,61

0.022,36,62

0.022,33,63

0.023,30,64

0.023,26,65

0.023,23,66

0.023,20,67

0.024,17,68

0.024,13,69

0.024,10,70

0.024,7,71

0.025,4,72

0.025,0,73

0.025,3,74

0.025,6,75

0.026,10,76

0.026,13,77

0.026,13,78

0.026,13,79

0.026,13,80

0.027,13,81

0.027,13,82

0.027,13,83

0.027,13,84

0.027,13,85

0.028,13,86

0.028,13,87

0.028,13,88

0.028,13,89

0.029,13,90

0.029,12,91

0.029,9,92

0.029,5,93

0.029,1,94

0.03,2,95

0.03,5,96

0.03,9,97

0.03,12,98

0.03,16,99

0.031,19,100

0.031,23,101

0.031,26,102

0.031,30,103

0.032,33,104

0.032,37,105

0.032,40,106

0.032,44,107

0.033,47,108

0.033,51,109

0.033,54,110

0.034,56,111

0.034,53,112

0.034,50,113

0.034,47,114

0.035,43,115

0.035,40,116

0.035,37,117

0.035,33,118

0.036,30,119

0.036,27,120

0.036,24,121

0.036,20,122

0.036,17,123

0.037,14,124

0.037,11,125

0.038,7,126

0.038,4,127

0.038,1,128

0.039,2,129

0.039,6,130

0.039,9,131

0.039,12,132

0.039,13,133

0.04,13,134

0.04,13,135

0.04,13,136

0.04,13,137

0.041,13,138

0.041,13,139

0.041,13,140

0.042,13,141

0.042,13,142

0.042,13,143

0.042,13,144

0.042,13,145

0.043,13,146

0.043,9,147

0.043,6,148

0.043,2,149

0.043,1,150

0.044,5,151

0.044,8,152

0.044,12,153

0.044,15,154

0.044,19,155

0.045,22,156

0.045,26,157

0.045,29,158

0.045,33,159

0.045,36,160

0.046,40,161

0.046,43,162

0.046,47,163

0.046,50,164

0.047,54,165

0.047,57,166

0.047,53,167

0.047,50,168

0.048,47,169

0.048,44,170

0.048,40,171

0.048,37,172

0.048,34,173

0.049,31,174

0.049,27,175

0.049,24,176

0.05,21,177

0.05,18,178

0.05,14,179

0.051,11,180

0.051,8,181

0.051,5,182

