t,angle,iteration,phase angle
0.0,75,1,12.81334
0.00898,8,2,17.2843
0.01697,11,3,21.26236
0.02947,14,4,27.48586
0.03759,17,5,31.52865
0.05005,20,6,37.73223
0.05778,22,7,41.58085
0.07027,25,8,47.79937
0.07843,28,9,51.86207
0.09058,31,10,57.91131
0.09913,34,11,62.16818
0.11086,37,12,68.00832
0.11871,40,13,71.91667
0.13137,43,15,78.21984
0.13994,46,16,82.48667
0.1521,49,17,88.54089
0.16049,52,18,92.7181
0.17286,55,19,98.87688
0.1805,58,20,102.68068
0.19295,61,22,108.87929
0.20141,64,23,113.09135
0.21376,67,24,119.24017
0.22193,70,25,123.30785
0.23414,73,26,129.38696
0.24245,76,27,133.52435
0.25471,78,29,139.62835
0.26356,81,30,144.03459
0.2752,84,31,149.82992
0.28329,87,32,153.85776
0.29566,90,33,160.01654
0.30353,91,34,163.93486
0.31635,91,35,170.31768
0.32417,91,36,174.2111
0.33646,91,37,180.33004
0.34486,91,38,184.51224
0.35662,91,39,190.36731
0.36528,91,40,194.67895
0.37757,91,41,200.79789
0.3855,91,42,204.74608
0.39767,91,43,210.80528
0.41023,91,44,217.05865
0.41824,91,45,221.04667
0.43084,90,46,227.31996
0.43903,87,47,231.3976
0.45115,83,48,237.4319
0.45918,79,49,241.42988
0.47177,76,50,247.69819
0.4801,73,51,251.84553
0.49234,69,52,257.93958
0.49956,66,53,261.53427
0.51299,62,54,268.2208
0.52093,59,55,272.17397
0.53236,55,56,277.86474
0.54156,52,57,282.44523
0.55366,48,59,288.46958
0.56266,45,60,292.9505
0.57396,42,61,298.57654
0.5823,38,62,302.72886
0.59435,35,63,308.72832
0.60285,31,64,312.9603
0.61438,28,66,318.70085
0.62304,24,67,323.01249
0.63533,21,68,329.13144
0.64373,17,69,333.31363
0.65596,14,70,339.4027
0.66432,10,71,343.56498
0.67641,7,73,349.58435
0.6846,3,74,353.66199
0.69733,0,75,360.0
0.7052,3,76,363.91832
0.71753,6,77,370.05718
0.72572,8,78,374.13481
0.73787,11,79,380.18406
0.74585,14,80,384.15714
0.75782,17,81,390.11676
0.7658,20,82,394.08984
0.77876,23,83,400.54237
0.78674,26,84,404.51545
0.79871,29,85,410.47507
0.80669,32,86,414.44816
0.81965,34,87,420.90068
0.82763,38,88,424.87376
0.8396,40,89,430.83339
0.84758,43,90,434.80647
0.86054,46,92,441.25899
0.86852,49,93,445.23208
0.88053,52,94,451.21162
0.88921,55,95,455.53321
0.9013,58,96,461.55258
0.90986,61,97,465.81444
0.92149,64,99,471.60478
0.93021,67,100,475.94629
0.94263,70,101,482.12996
0.95081,73,102,486.20262
0.96235,76,103,491.94816
0.97116,79,104,496.33448
