t,angle,iteration,phase angle
0.0,74,1,33.41439
0.009,26,2,44.41095
0.01695,34,3,54.12457
0.02992,41,4,69.97184
0.0379,49,5,79.72212
0.04987,57,6,94.34755
0.06184,65,7,108.97297
0.07081,73,8,119.93288
0.08278,81,9,134.5583
0.09079,89,10,144.34524
0.10273,91,11,158.93401
0.1117,91,12,169.89391
0.1237,91,13,184.55599
0.13167,91,14,194.29406
0.14461,91,15,210.10467
0.15259,84,16,219.85495
0.16459,76,17,234.51703
0.17257,68,18,244.26732
0.1855,60,19,260.06571
0.19348,53,20,269.81599
0.20548,45,21,284.47807
0.21343,37,22,294.1917
0.2264,30,23,310.03896
0.23437,22,24,319.77703
0.24636,14,25,334.42689
0.25434,6,26,344.17717
0.26729,0,27,360.0
0.27526,3,28,369.73806
0.28726,12,30,384.40014
0.29621,20,31,395.33561
0.30818,27,32,409.96104
0.31618,35,33,419.73576
0.32814,43,34,434.34896
0.3371,51,35,445.29665
0.34907,59,37,459.92208
0.35707,67,38,469.6968
0.36904,75,39,484.32222
0.37799,83,40,495.25769
0.38996,91,41,509.88311
0.39796,91,42,519.65783
0.4109,90,44,535.46844
0.41888,91,45,545.21873
0.43085,91,46,559.84415
0.43886,90,47,569.63109
0.45179,82,48,585.42948
0.45977,74,49,595.17976
0.47174,66,50,609.80519
0.47972,59,51,619.55547
0.49268,51,52,635.39052
0.50066,44,53,645.1408
0.51263,36,54,659.76623
0.52161,28,55,670.73835
0.53357,20,56,685.35156
0.54155,12,57,695.10184
0.55352,5,58,709.72726
0.5615,1,59,719.47755
0.57446,7,60,735.31259
0.58244,14,61,745.06288
0.59441,21,62,759.6883
0.60339,29,63,770.66042
0.61536,37,64,785.28585
0.62333,45,65,795.02391
0.63533,53,66,809.68599
0.64428,61,67,820.62146
0.65624,69,68,835.23467
0.66823,77,69,849.88453
0.67719,85,70,860.83222
0.68916,91,71,875.45764
0.69714,90,72,885.20792
0.70913,91,73,899.85779
0.71808,91,74,910.79325
0.73005,91,75,925.41868
0.73803,88,76,935.16896
0.75002,80,77,949.81882
0.75899,72,78,960.77873
0.77094,65,79,975.37972
0.77892,57,80,985.13
0.79188,49,81,1000.96505
0.79988,41,82,1010.73977
0.81183,33,83,1025.34075
0.81981,26,84,1035.09104
0.83277,18,86,1050.92608
0.84075,10,87,1060.67637
0.85272,3,88,1075.30179
0.8607,1,89,1085.05207
0.87367,7,90,1100.89934
0.88164,14,91,1110.6374
0.89361,22,93,1125.26283
0.90161,31,94,1135.03755
0.91458,39,95,1150.88481
0.92253,47,96,1160.59844
0.9345,55,97,1175.22387
0.94348,63,98,1186.19599
0.95547,71,100,1200.84585
0.96342,78,101,1210.55948
0.97539,86,102,1225.1849
0.98437,90,103,1236.15703
0.99634,91,104,1250.78245
1.00431,91,105,1260.52052
1.01631,91,107,1275.1826
1.02526,91,108,1286.11806
1.03723,84,109,1300.74349
1.04521,77,110,1310.49377
1.05719,70,111,1325.13142
1.06617,62,112,1336.10354
1.07812,54,113,1350.70453
1.0861,46,114,1360.45481
1.09906,39,115,1376.28986
1.10706,31,116,1386.06458
1.11901,24,117,1400.66556
1.12699,16,118,1410.41585
1.13995,8,119,1426.25089
1.14795,1,120,1436.02561
1.1599,1,121,1450.6266
1.16788,10,122,1460.37689
1.18087,19,123,1476.24859
1.18884,27,124,1485.98665
1.20079,34,125,1500.58764
1.20877,42,126,1510.33792
1.22176,50,128,1526.20962
1.22971,58,129,1535.92325
1.24168,66,130,1550.54868
1.25066,74,131,1561.5208
1.26265,82,132,1576.17066
1.27459,91,133,1590.75943
1.28257,91,134,1600.50972
1.29554,91,135,1616.35698
1.30354,91,136,1626.1317
1.31548,91,137,1640.72047
1.32346,91,138,1650.47075
1.33645,83,139,1666.34245
1.34443,75,140,1676.09274
1.35637,67,141,1690.68151
1.36435,59,142,1700.43179
1.37732,52,144,1716.27906
1.3853,44,145,1726.02934
1.39726,37,146,1740.64254
1.40624,29,147,1751.61467
1.41823,21,148,1766.26453
1.42619,13,149,1775.99038
1.43816,5,151,1790.6158
1.44713,0,152,1801.57571
1.4591,6,153,1816.20113
1.46708,14,154,1825.95141
1.47905,21,155,1840.57684
1.48804,28,156,1851.56118
1.50001,36,158,1866.1866
1.50797,44,159,1875.91245
1.52093,53,160,1891.7475
1.52893,61,161,1901.52222
1.54088,69,162,1916.12321
1.54886,77,163,1925.87349
1.56182,85,165,1941.70854
1.56982,91,166,1951.48326
1.58177,90,167,1966.08424
1.58975,91,168,1975.83453
1.60273,91,169,1991.69401
1.61069,91,170,2001.41986
1.62266,89,172,2016.04528
1.63064,81,173,2025.79556
1.64363,73,174,2041.66727
1.65161,66,175,2051.41755
1.66355,58,176,2066.00632
1.67153,50,177,2075.7566
1.68452,42,178,2091.6283
1.6925,34,179,2101.37859
1.70444,27,180,2115.96736
1.71242,19,181,2125.71764
1.72541,11,182,2141.58934
1.73339,4,183,2151.33962
1.74533,1,184,2165.92839
1.75431,7,185,2176.90052
1.7663,14,186,2191.55038
1.77426,21,187,2201.27622
1.78622,30,188,2215.88943
1.79522,38,189,2226.88599
1.80719,46,190,2241.51142
1.81515,54,191,2251.23726
1.82712,62,193,2265.86269
1.83611,70,194,2276.84703
1.84808,78,195,2291.47245
1.85604,86,196,2301.1983
1.869,90,197,2317.03335
1.88099,90,198,2331.68321
1.88895,91,199,2341.40905
1.90092,91,200,2356.03448
1.90989,91,201,2366.99438
1.92188,86,202,2381.64425
1.92984,78,203,2391.37009
1.94181,71,204,2405.99552
1.95081,63,205,2416.99208
1.96277,56,206,2431.60528
1.97073,48,207,2441.33113
1.9837,40,209,2457.17839
1.9917,32,210,2466.95311
2.00366,25,211,2481.56632
2.01162,17,212,2491.29217
2.02459,9,213,2507.13943
2.03259,2,214,2516.91415
2.04455,0,216,2531.52736
2.05251,7,217,2541.2532
2.06548,15,218,2557.10047
2.07348,24,219,2566.87519
2.08542,32,220,2581.46396
2.0934,40,221,2591.21424
2.10637,48,223,2607.06151
2.11437,56,224,2616.83623
2.12631,64,225,2631.425
2.13429,72,226,2641.17528
2.14728,79,227,2657.04698
2.15526,87,228,2666.79726
2.16721,90,229,2681.39825
2.17618,91,230,2692.35816
2.18817,91,231,2707.00802
2.19615,91,232,2716.7583
2.2081,91,233,2731.35929
2.21707,84,234,2742.3192
2.22906,77,235,2756.96906
2.23702,70,236,2766.6949
2.24899,62,237,2781.32033
2.25796,54,238,2792.28023
2.26995,46,239,2806.93009
2.27793,38,240,2816.68038
2.29087,31,241,2832.49099
2.29885,23,242,2842.24127
2.31085,16,243,2856.90335
2.3188,8,244,2866.61698
2.33177,0,245,2882.46424
2.33974,1,246,2892.20231
2.35173,10,247,2906.85217
2.35969,19,248,2916.57802
2.37266,27,250,2932.42528
2.38064,34,251,2942.17556
2.39263,42,252,2956.82543
2.40058,50,253,2966.53905
2.41355,58,254,2982.38632
2.42155,66,255,2992.16104
2.43352,74,257,3006.78646
2.44147,82,258,3016.50009
2.45444,90,259,3032.34736
2.46244,91,260,3042.12208
2.47438,91,261,3056.71085
2.48336,91,262,3067.68297
2.49535,91,264,3082.33283
2.50732,91,265,3096.95826
2.51527,84,266,3106.67188
