t,angle,iteration,phase angle
0.001,66,1,-10.56424
0.00598,3,2,-4.49741
0.01795,1,3,10.08492
0.02693,7,4,21.02472
0.0389,14,5,35.60705
0.04688,22,6,45.32861
0.05884,31,8,59.89876
0.06782,39,9,70.83855
0.07979,47,10,85.42089
0.08776,55,11,95.13026
0.09976,63,12,109.74914
0.1127,71,13,125.51316
0.12068,79,14,135.23472
0.13264,86,15,149.80487
0.14162,90,16,160.74467
0.15359,91,17,175.327
0.16157,91,18,185.04855
0.17354,91,19,199.63089
0.18251,91,20,210.5585
0.19448,84,21,225.14083
0.20246,77,22,234.86239
0.21443,69,23,249.44472
0.2234,61,24,260.37233
0.23537,53,25,274.95467
0.24335,46,26,284.67622
0.25631,38,27,300.46461
0.26431,31,28,310.21053
0.27626,23,29,324.7685
0.28424,15,30,334.49005
0.2972,7,31,350.27844
0.30518,0,32,360.0
0.31715,1,33,374.58233
0.32514,11,34,384.31607
0.3381,19,36,400.10446
0.34608,27,37,409.82602
0.35804,34,38,424.39617
0.36602,42,39,434.11772
0.37902,50,40,449.95484
0.38697,58,41,459.63985
0.39893,66,42,474.21
0.40691,74,43,483.93156
0.4199,82,44,499.75649
0.42786,90,45,509.45368
0.43982,91,46,524.02383
0.4488,91,47,534.96363
0.46077,91,48,549.54596
0.46875,91,49,559.26752
0.48072,91,50,573.84985
0.48969,84,51,584.77746
0.50166,76,52,599.3598
0.50964,68,53,609.08135
0.5226,60,54,624.86974
0.53058,53,55,634.5913
0.54255,45,56,649.17363
0.55053,38,57,658.89518
0.56349,30,58,674.68357
0.57149,22,59,684.42949
0.58344,14,60,698.98746
0.59142,7,61,708.70902
0.60438,0,62,724.49741
0.61238,2,63,734.24333
0.62433,12,64,748.8013
0.63231,20,65,758.52285
0.64529,27,66,774.33561
0.65327,34,67,784.05716
0.66522,42,68,798.61513
0.6732,50,69,808.33668
0.68619,58,70,824.16162
0.69414,67,71,833.84663
0.70611,75,72,848.42896
0.71908,83,73,864.22954
0.72708,91,74,873.97546
0.73902,91,75,888.52124
0.747,91,76,898.2428
0.75997,91,77,914.04337
0.76797,91,78,923.78929
0.77991,90,79,938.33508
0.78789,82,80,948.05663
0.80088,74,81,963.88157
0.80884,66,82,973.57876
0.82081,58,84,988.16109
0.82878,51,85,997.87046
0.84175,43,86,1013.67104
0.84973,35,87,1023.39259
0.8617,27,88,1037.97492
0.87067,20,89,1048.90254
0.88266,12,91,1063.50924
0.89062,4,92,1073.20643
0.90259,1,93,1087.78876
0.91156,7,94,1098.71637
0.92355,14,95,1113.32307
0.93151,21,96,1123.02026
0.94348,29,97,1137.60259
0.95245,37,98,1148.5302
0.96444,46,99,1163.1369
0.9724,53,100,1172.83409
0.98437,62,101,1187.41643
0.99334,70,102,1198.34404
1.00531,77,103,1212.92637
1.01329,85,104,1222.64793
1.02626,91,105,1238.4485
1.03426,90,106,1248.19442
1.0462,91,107,1262.7402
1.05418,91,108,1272.46176
1.06717,91,109,1288.2867
1.07512,89,110,1297.97171
1.08709,80,111,1312.55404
1.09507,73,112,1322.27559
1.10804,65,113,1338.07617
1.11601,57,114,1347.78554
1.12798,50,115,1362.36787
1.13596,42,116,1372.08943
1.14893,34,117,1387.89
1.1569,26,118,1397.59937
1.16887,18,119,1412.18171
1.17785,11,120,1423.1215
1.18982,3,121,1437.70383
1.1978,1,122,1447.42539
1.20976,7,123,1461.99554
1.21874,14,124,1472.93533
1.23071,22,125,1487.51767
1.23869,30,126,1497.23922
1.25065,39,127,1511.80937
1.25963,47,128,1522.74917
1.27162,55,130,1537.35587
1.27958,63,131,1547.05306
1.29254,71,132,1562.84145
1.30052,78,133,1572.563
1.31251,86,134,1587.1697
1.32446,90,135,1601.72767
1.33343,91,136,1612.65528
1.34542,91,137,1627.26198
1.35338,91,138,1636.95917
1.36535,91,139,1651.5415
1.37435,86,140,1662.50566
1.38632,78,141,1677.08799
1.39427,71,142,1686.773
1.40624,63,143,1701.35533
1.41522,56,144,1712.29513
1.4272,48,146,1726.88964
1.43516,40,147,1736.58684
1.44813,32,148,1752.38741
1.45611,25,149,1762.10896
1.4681,17,150,1776.71566
1.47605,10,151,1786.40067
1.48902,2,153,1802.20124
1.497,0,154,1811.9228
1.50897,8,155,1826.50513
1.51694,17,156,1836.2145
1.52991,26,157,1852.01508
1.53791,33,158,1861.761
1.54986,41,159,1876.31896
