t,angle,iteration
0.097,71,399
0.097,71,400
0.097,71,401
0.097,71,402
0.098,71,403
0.098,71,404
0.098,71,405
0.098,71,406
0.098,71,407
0.099,71,408
0.099,71,409
0.099,71,410
0.099,71,411
0.1,69,412
0.1,66,413
0.1,62,414
0.1,58,415
0.1,55,416
0.101,52,417
0.101,48,418
0.101,45,419
0.101,41,420
0.101,38,421
0.102,34,422
0.102,31,423
0.102,27,424
0.102,24,425
0.103,20,426
0.103,17,427
0.103,13,428
0.103,10,429
0.103,6,430
0.103,3,431
0.104,2,432
0.104,5,433
0.104,9,434
0.104,12,435
0.104,15,436
0.105,18,437
0.105,21,438
0.105,25,439
0.105,28,440
0.105,31,441
0.106,34,442
0.106,37,443
0.106,40,444
0.106,44,445
0.107,47,446
0.107,50,447
0.107,53,448
0.107,56,449
0.108,60,450
0.108,63,451
0.108,66,452
0.108,69,453
0.108,71,454
0.109,71,455
0.109,71,456
0.109,71,457
0.109,71,458
0.109,71,459
0.11,71,460
0.11,71,461
0.11,71,462
0.11,71,463
0.11,71,464
0.111,71,465
0.111,71,466
0.111,70,467
0.111,67,468
0.111,63,469
0.112,60,470
0.112,56,471
0.112,53,472
0.112,49,473
0.112,46,474
0.113,42,475
0.113,39,476
0.113,35,477
0.116,32,478
0.17,29,479
0.218,25,480
0.267,22,481
0.321,18,482
0.37,14,483
0.419,11,484
0.472,7,485
0.522,4,486
0.575,1,487
0.624,4,488
0.673,7,489
0.726,11,490
0.776,14,491
0.825,17,492
0.878,20,493
0.927,23,494
0.976,26,495
1.029,30,496
1.079,33,497
1.132,36,498
1.181,39,499
1.23,42,500
1.284,46,501
1.332,49,502
1.382,52,503
1.435,55,504
1.484,58,505
1.537,62,506
1.586,65,507
1.635,68,508
1.689,71,509
1.738,71,510
1.787,71,511
1.841,71,512
1.89,71,513
1.939,71,514
1.992,71,515
2.041,71,516
2.094,71,517
2.144,71,518
2.193,71,519
2.246,71,520
2.295,71,521
2.344,71,522
2.398,68,523
2.446,65,524
2.5,61,525
2.549,58,526
2.598,54,527
2.651,51,528
2.701,47,529
2.75,44,530
2.803,40,531
2.852,37,532
2.901,33,533
2.955,30,534
3.004,26,535
3.056,23,536
3.106,19,537
3.155,16,538
3.208,12,539
3.258,9,540
3.306,5,541
3.36,2,542
3.409,3,543
3.458,6,544
3.512,10,545
3.561,13,546
3.614,16,547
3.663,19,548
3.712,22,549
3.765,25,550
3.815,29,551
3.863,32,552
3.917,35,553
3.966,38,554
4.019,41,555
4.068,45,556
