t,angle,iteration,phase angle
0.0,39,1,335.59269
0.008,1,2,345.27813
0.02016,0,3,360.0
0.02837,8,4,369.93968
0.0402,16,5,384.26203
0.052,24,6,398.54805
0.06037,32,7,408.68144
0.07235,40,8,423.18539
0.08038,48,9,432.90715
0.09233,56,10,447.37478
0.10019,64,11,456.89072
0.11232,72,12,471.57627
0.12039,79,13,481.34646
0.1323,87,14,495.76566
0.14037,90,15,505.53584
0.156,91,16,524.45877
0.16419,91,17,534.37424
0.17627,91,18,548.99925
0.18426,91,19,558.67259
0.19626,84,20,573.20075
0.20426,76,21,582.88619
0.21626,68,22,597.41435
0.22425,60,23,607.08768
0.23624,53,24,621.60373
0.24427,45,25,631.32549
0.25626,37,26,645.84155
0.26437,30,27,655.66016
0.27638,22,28,670.20043
0.28437,14,29,679.87376
0.29639,6,30,694.42614
0.30438,0,31,704.09947
0.32,5,32,723.01029
0.324,13,33,727.85301
0.34022,20,34,747.49024
0.34835,27,35,757.33307
0.36038,35,36,771.89755
0.36801,43,37,781.13504
0.38038,51,38,796.11115
0.38838,59,39,805.79659
0.40037,68,40,820.31264
0.40832,76,41,829.93755
0.42036,84,42,844.51414
0.42837,91,43,854.21168
0.44003,91,44,868.32821
0.448,91,45,877.97733
0.46037,91,46,892.95344
0.46837,91,47,902.63888
0.48038,87,48,917.17915
0.48832,79,49,926.79195
0.50422,72,50,946.04176
0.51238,64,51,955.92091
0.52438,57,52,970.44907
0.53238,49,53,980.13451
0.54439,41,54,994.67478
0.55239,33,55,1004.36022
0.56438,26,56,1018.87627
0.57238,18,57,1028.56171
0.58438,10,58,1043.08987
0.59235,3,59,1052.73899
0.60438,1,60,1067.30347
0.61239,7,61,1077.00102
0.62422,14,62,1091.32336
0.63226,22,63,1101.05723
0.64404,30,64,1115.31904
0.65204,39,65,1125.00448
0.664,47,66,1139.48421
0.676,55,67,1154.01237
0.688,63,68,1168.54053
0.7,71,69,1183.06869
0.708,78,70,1192.75413
0.72,86,71,1207.28229
0.728,90,72,1216.96773
0.74,91,73,1231.49589
0.74803,91,74,1241.21765
0.76003,91,75,1255.74581
0.76803,91,76,1265.43125
0.78003,86,77,1279.95941
0.78803,79,78,1289.64485
0.8,71,79,1304.13669
0.80803,64,80,1313.85845
0.82003,56,81,1328.38661
0.82803,48,82,1338.07205
0.84003,40,83,1352.60021
0.852,33,84,1367.09205
0.864,25,85,1381.62021
0.872,17,86,1391.30565
0.88403,10,87,1405.87013
0.89203,2,88,1415.55557
0.90403,0,89,1430.08373
0.91203,5,90,1439.76917
0.92403,13,91,1454.29733
0.93203,20,92,1463.98277
0.94403,28,93,1478.51093
0.95203,35,94,1488.19637
0.96403,44,95,1502.72453
0.97203,52,96,1512.40997
0.984,60,97,1526.90181
0.9922,68,98,1536.82939
1.008,76,99,1555.95813
1.01204,84,100,1560.84928
1.028,92,101,1580.17173
1.03639,91,102,1590.32934
1.04838,91,103,1604.84539
1.05637,91,104,1614.51872
1.06837,91,105,1629.04688
1.07627,84,106,1638.61125
1.0882,76,107,1653.05467
1.09629,68,108,1662.84907
1.10828,60,109,1677.36512
1.11628,53,110,1687.05056
1.12827,46,111,1701.56661
1.13638,38,112,1711.38523
1.14837,30,113,1725.90128
1.15638,23,114,1735.59883
1.172,15,115,1754.50965
1.18,7,116,1764.19509
1.19227,0,117,1779.05013
1.20039,3,118,1788.88086
1.21293,12,119,1804.06278
1.22097,20,120,1813.79665
1.23317,27,121,1828.56695
1.24121,35,122,1838.30081
1.25321,43,123,1852.82897
1.26122,51,124,1862.52652
1.27321,59,125,1877.04257
1.28518,67,126,1891.53441
1.29322,75,127,1901.26828
1.30518,83,128,1915.74801
1.31321,91,129,1925.46977
1.32496,91,130,1939.69526
1.33296,91,131,1949.3807
1.34528,91,132,1964.29628
1.3533,91,133,1974.00594
1.36528,91,134,1988.50988
1.37331,83,135,1998.23164
1.38893,75,136,2017.14246
1.3971,67,137,2027.03372
1.40931,59,138,2041.81612
1.41732,52,139,2051.51367
1.42893,44,140,2065.56966
1.43721,36,141,2075.59409
1.44921,29,142,2090.12225
1.45712,21,143,2099.69873
1.46928,13,144,2114.4206
1.47728,5,145,2124.10604
1.48893,0,146,2138.21046
1.49726,5,147,2148.29543
1.5093,13,148,2162.87202
1.5173,20,149,2172.55746
1.52929,28,150,2187.07351
1.5373,36,151,2196.77106
1.55294,44,152,2215.70609
1.56094,52,153,2225.39153
1.57311,60,154,2240.12551
1.5812,68,155,2249.91991
1.59312,76,156,2264.35121
1.60119,84,157,2274.1214
1.61332,92,158,2288.80695
1.62131,90,159,2298.48028
1.63331,91,160,2313.00844
1.64129,91,161,2322.66967
1.6533,91,162,2337.20994
1.6613,87,163,2346.89538
1.67332,79,164,2361.44775
1.68131,72,165,2371.12108
1.69331,64,166,2385.64924
1.70128,56,167,2395.29836
1.7133,49,168,2409.85074
1.72493,41,169,2423.93094
1.73696,33,170,2438.49542
1.74514,25,171,2448.39879
1.75731,18,172,2463.13276
1.76531,10,173,2472.8182
1.7773,3,174,2487.33426
1.7853,1,175,2497.0197
1.7972,6,176,2511.42679
1.80518,13,177,2521.08801
1.8172,21,178,2535.64039
1.82522,29,179,2545.35004
1.8372,38,180,2559.85399
1.8452,46,181,2569.53943
1.85693,54,182,2583.7407
1.86493,62,183,2593.42614
1.87697,70,184,2608.00273
1.88893,78,185,2622.48246
1.89693,85,186,2632.1679
1.91304,91,187,2651.67196
1.92127,90,188,2661.63585
1.93327,91,189,2676.16401
1.9413,91,190,2685.88578
1.95321,91,191,2700.30497
1.96129,86,192,2710.08727
1.97452,78,193,2726.10456
1.98268,71,194,2735.98371
1.99467,63,195,2750.49977
2.00259,55,196,2760.08835
2.01467,48,197,2774.71337
2.02268,40,198,2784.41091
2.03466,32,199,2798.91486
2.04267,25,200,2808.61241
2.05466,17,201,2823.12846
2.06267,10,202,2832.82601
2.07467,2,203,2847.35417
2.08267,0,204,2857.03961
2.09467,7,205,2871.56777
2.10268,14,206,2881.26531
2.11464,22,207,2895.74505
2.12629,30,208,2909.84947
2.1383,38,209,2924.38974
2.14643,46,210,2934.23256
2.15866,54,211,2949.03918
2.16666,62,212,2958.72462
2.17865,70,213,2973.24067
2.18655,78,214,2982.80505
2.19855,86,215,2997.33321
2.20629,90,216,3006.70387
2.21866,90,217,3021.67998
2.22667,91,218,3031.37753
2.23866,91,219,3045.89358
2.24653,91,220,3055.42163
2.25856,87,221,3069.98611
2.26655,79,222,3079.65945
2.27855,72,223,3094.18761
2.29035,64,224,3108.47363
2.3023,56,225,3122.94126
2.3103,49,226,3132.6267
2.32229,41,227,3147.14275
2.33029,33,228,3156.82819
2.34266,25,229,3171.8043
2.35068,18,230,3181.51395
2.36267,10,231,3196.03001
2.37068,3,232,3205.72755
2.38266,1,233,3220.2315
2.39067,8,234,3229.92905
2.40267,17,235,3244.45721
2.41067,25,236,3254.14265
2.42266,33,237,3268.6587
2.4306,41,238,3278.2715
2.44267,49,239,3292.88441
2.45067,56,240,3302.56985
2.46629,64,241,3321.48067
2.47069,72,242,3326.80766
2.48651,80,243,3345.96062
2.49432,88,244,3355.41603
2.50667,91,245,3370.36793
2.51866,91,246,3384.88398
2.52666,91,247,3394.56942
2.53865,91,248,3409.08547
2.54665,91,249,3418.77091
2.55864,89,250,3433.28697
2.56667,81,251,3443.00873
2.57862,73,252,3457.47635
2.58629,65,253,3466.76227
2.59868,58,254,3481.76259
2.60668,50,255,3491.44803
2.61868,42,256,3505.97619
2.62667,34,257,3515.64953
2.6423,27,258,3534.57246
2.64676,19,259,3539.97209
2.66279,11,260,3559.37929
2.67118,4,261,3569.53689
2.68315,1,262,3584.02873
2.69115,0,263,3593.71417
2.70342,7,264,3608.56922
2.71143,14,265,3618.26676
2.72335,21,266,3632.69807
2.73142,29,267,3642.46826
2.74343,37,268,3657.00852
2.75138,46,269,3666.63343
2.76343,54,270,3681.22212
2.77143,62,271,3690.90756
2.78335,70,272,3705.33887
2.79137,78,273,3715.04852
2.80339,85,274,3729.6009
2.81115,91,275,3738.99577
2.82315,90,276,3753.52393
2.83139,91,277,3763.49994
2.84715,91,278,3782.58025
2.85115,91,279,3787.42297
2.86715,86,280,3806.79385
2.87515,78,281,3816.47929
2.88715,71,282,3831.00745
2.89515,63,283,3840.69289
2.90718,55,284,3855.25737
2.91518,48,285,3864.94281
2.92718,40,286,3879.47097
