t,angle,iteration
0.001,90,1
0.00798,2,2
0.02049,11,3
0.02943,19,4
0.04087,27,5
0.04985,34,6
0.06224,42,7
0.06989,50,8
0.08253,57,9
0.09051,65,10
0.10268,73,11
0.11132,81,12
0.12362,89,13
0.13172,91,14
0.14412,91,15
0.15269,91,16
0.16374,91,17
0.17275,91,18
0.18501,84,19
0.19323,77,20
0.20551,70,21
0.21309,62,22
0.22506,54,23
0.23403,47,24
0.24623,39,25
0.25443,32,26
0.26698,24,27
0.27886,17,28
0.28741,9,29
0.29536,2,30
0.30755,1,31
0.31612,9,32
0.32834,17,33
0.34026,26,34
0.34899,33,35
0.36124,41,36
0.3692,49,37
0.38072,56,39
0.38972,64,40
0.40216,72,41
0.4099,80,42
0.42228,88,43
0.43044,90,44
0.44267,91,46
0.45101,91,47
0.46351,91,48
0.47178,91,49
0.48403,84,50
0.49221,76,51
0.50454,68,52
0.51272,60,53
0.52501,53,54
0.53255,46,55
0.54525,38,56
0.5535,31,57
0.56589,23,58
0.57419,15,59
0.58608,8,60
0.59463,0,61
0.6069,0,62
0.61495,9,63
0.62752,17,64
0.63553,25,65
0.64786,33,66
0.65604,41,67
0.66735,49,68
0.67657,56,69
0.68872,64,70
0.69684,72,71
0.70934,80,72
0.71753,88,73
0.72956,90,74
0.7379,91,75
0.74986,91,76
0.75823,91,77
0.77056,91,79
0.77889,84,80
0.79091,77,81
0.79933,70,82
0.81179,62,83
0.81948,54,84
0.83214,47,85
0.84038,39,86
0.85221,32,87
0.86062,24,88
0.87253,17,89
0.8805,9,90
0.8938,2,91
0.90178,0,92
0.91407,8,93
0.92234,16,94
0.93382,25,95
0.94233,32,96
0.95533,40,98
0.96664,48,99
0.97549,56,100
0.9879,64,101
0.99612,71,102
1.00834,79,103
1.01572,87,104
1.02877,90,105
1.03685,91,106
1.04923,91,108
1.05719,91,109
1.06919,91,110
1.07797,84,111
1.09019,77,112
1.09822,70,113
1.11004,62,115
1.11802,54,116
1.13063,47,117
1.13861,39,118
1.15166,32,119
1.15981,24,120
1.17211,17,121
1.18016,9,122
1.19237,2,123
1.2008,1,124
1.21252,9,125
1.22131,17,126
1.23349,26,127
1.24179,33,128
1.25395,41,129
1.2617,49,130
1.27403,56,131
1.28235,64,132
1.29461,72,133
1.30307,80,134
1.31504,88,135
1.32346,90,136
1.33547,91,137
1.34392,91,138
1.35635,91,139
1.3647,91,140
1.37627,84,141
1.38485,77,142
1.39742,69,143
1.40493,61,144
1.41791,53,145
1.42632,46,146
1.43775,39,148
1.44656,31,149
1.45881,24,150
1.4666,16,151
1.47927,8,152
1.48751,1,153
1.49918,1,155
1.50716,9,156
1.52027,18,157
1.52841,26,158
1.54076,33,159
1.54828,41,160
1.5603,49,161
1.56867,57,162
1.58081,64,163
1.59312,72,164
1.60185,80,165
1.6156,88,166
1.62244,90,167
1.63468,91,168
1.64319,91,169
1.6556,91,170
1.66363,91,171
1.67562,83,172
1.68414,75,173
1.6953,67,174
1.70396,60,175
1.71687,52,177
1.72527,45,178
1.73736,37,179
1.74547,30,180
1.75708,22,181
1.76568,14,182
1.77839,7,183
1.78536,0,184
1.79874,4,185
1.80698,12,186
1.81902,20,187
1.82744,27,188
1.83905,35,189
1.84779,43,190
1.86033,50,191
1.86831,58,192
1.88028,66,193
1.88826,74,194
1.90117,82,195
1.90939,90,196
1.92123,91,197
1.9298,91,198
1.94216,91,199
1.95059,91,200
1.96246,90,201
1.97078,82,202
1.98305,74,204
1.99126,67,205
2.00361,59,206
2.01162,52,207
2.0242,44,208
2.03132,37,209
2.04449,29,211
2.05188,21,212
2.06495,14,213
2.07294,6,214
2.08487,0,215
2.09365,6,216
2.10586,13,218
2.12024,20,219
2.12615,28,220
2.13471,35,221
2.14647,44,222
2.15445,52,223
2.16742,59,224
2.17562,67,225
2.18786,76,226
2.19599,83,227
2.20825,91,228
2.22019,91,229
2.22817,91,230
2.24017,91,231
2.2493,91,232
2.26129,90,233
2.26894,81,234
2.28208,73,235
2.29015,66,236
2.30243,58,237
2.31075,51,238
2.32288,43,240
2.33125,36,241
2.34327,28,242
2.35119,20,243
2.36403,13,244
2.37204,5,245
2.38449,0,247
2.39285,7,248
2.40411,14,249
2.41317,21,250
2.42545,29,251
2.43297,37,252
2.44583,45,253
2.45413,53,254
2.46612,61,255
2.47435,69,256
2.48665,77,257
2.49508,85,258
2.50736,91,259
2.51528,90,260
2.52724,91,261
2.53575,91,262
2.54832,91,263
2.55642,87,264
2.56788,79,265
2.57679,72,266
2.58925,64,267
2.59817,57,268
2.60972,49,269
2.61748,41,270
2.63029,34,271
2.63863,26,272
2.65007,18,273
2.65865,11,274
2.67114,3,275
2.67825,1,276
2.69144,8,277
2.6995,15,278
2.71226,24,280
2.72025,32,281
2.73251,40,282
2.74065,48,283
2.75321,55,284
2.76048,63,285
2.77358,71,287
2.78178,79,288
2.79392,87,289
2.80147,90,290
2.81454,91,291
2.8224,91,292
2.83474,91,294
2.84836,91,295
2.8553,85,296
2.86777,78,297
2.87616,71,298
2.88741,63,299
2.89538,55,300
2.90839,47,301
2.91698,40,302
2.92851,32,304
2.93751,25,305
2.94966,17,306
2.95737,10,307
2.97021,2,308
2.97828,1,309
2.99055,8,310
2.99889,17,311
3.01049,25,312
3.01854,33,313
3.03183,40,314
3.03948,48,315
3.05193,56,316
3.05973,64,317
3.07227,72,319
3.08079,79,320
3.09306,87,321
3.10055,90,322
3.11349,91,323
3.12172,91,324
3.13389,91,326
3.14176,91,327
3.15426,85,328
3.16243,78,329
3.17502,70,330
3.18367,62,331
3.19525,55,333
3.20352,47,334
3.21592,40,335
3.2233,32,336
3.23623,25,337
3.24461,17,338
3.25677,9,339
3.26459,2,340
3.27738,0,341
3.28555,7,342
3.29746,16,343
3.30588,24,344
3.31777,32,345
3.3265,40,346
3.33879,48,348
3.34808,55,349
3.35928,63,350
3.36744,71,351
3.37958,79,352
3.38791,87,353
3.39926,90,354
3.40821,91,355
3.42073,91,356
3.42834,91,357
3.44037,91,358
3.44903,85,359
3.46156,78,361
3.47399,71,362
3.48155,63,363
3.49425,56,364
3.50243,48,365
3.51613,40,366
3.52269,33,367
3.53447,25,368
3.54317,18,369
3.55566,10,370
3.56401,3,371
3.57632,1,372
3.58472,7,373
3.59676,16,374
3.60471,24,375
3.61727,32,376
3.62562,40,377
3.63768,48,378
3.64595,55,379
3.65829,63,380
3.66554,71,381
3.67781,79,382
3.68622,87,383
3.69913,90,384
3.70751,91,385
3.719,91,386
3.72718,91,387
3.74019,91,388
3.74797,84,389
3.76033,76,391
3.76849,68,392
3.78125,60,393
3.78955,53,394
3.80082,45,395
3.8096,38,396
3.82202,30,398
3.82987,23,399
3.84246,15,400
3.8505,7,401
3.86267,0,402
3.87065,1,403
3.88285,11,405
3.89083,19,406
3.90377,26,407
3.91492,34,408
3.92398,41,409
3.93266,49,410
3.94493,57,412
3.95215,65,413
3.96549,73,414
3.97366,81,415
3.98595,89,416
3.99406,91,417
4.00619,91,418
4.01456,91,419
4.02675,91,420
4.03474,91,421
4.04706,83,422
4.05541,75,423
4.06758,67,424
4.07603,60,425
4.08799,52,426
4.09997,45,427
4.1087,37,428
4.12053,30,429
4.12926,22,430
4.14158,14,431
4.14897,7,432
4.16097,0,433
4.16924,1,434
4.18146,1,435
4.19045,9,436
4.203,17,437
4.211,25,438
4.22292,33,439
4.23189,41,440
4.24394,49,441
