t,angle,iteration,phase angle
0.001,90,1,-359.33709
0.00798,2,2,-350.879
0.02049,11,3,-335.71989
0.02943,19,4,-324.88675
0.04087,27,5,-311.02422
0.04985,34,6,-300.14261
0.06224,42,7,-285.12891
0.06989,50,8,-275.85894
0.08253,57,9,-260.5423
0.09051,65,10,-250.87245
0.10268,73,11,-236.12533
0.11132,81,12,-225.65573
0.12362,89,13,-210.75108
0.13172,91,14,-200.93582
0.14412,91,15,-185.91
0.15269,91,16,-175.52521
0.16374,91,17,-162.13527
0.17275,91,18,-151.21731
0.18501,84,19,-136.36113
0.19323,77,20,-126.40046
0.20551,70,21,-111.52005
0.21309,62,22,-102.33491
0.22506,54,23,-87.83014
0.23403,47,24,-76.96066
0.24623,39,25,-62.17718
0.25443,32,26,-52.24075
0.26698,24,27,-37.03316
0.27886,17,28,-22.63746
0.28741,9,29,-12.27691
0.29536,2,30,-2.64342
0.30755,1,31,12.12794
0.31612,9,32,22.51272
0.32834,17,33,37.32043
0.34026,26,34,51.76461
0.34899,33,35,62.34327
0.36124,41,36,77.18733
0.3692,49,37,86.83294
0.38072,56,39,100.79242
0.38972,64,40,111.69826
0.40216,72,41,126.77255
0.4099,80,42,136.15158
0.42228,88,43,151.15316
0.43044,90,44,161.04113
0.44267,91,46,175.86095
0.45101,91,47,185.96703
0.46351,91,48,201.11403
0.47178,91,49,211.13528
0.48403,84,50,225.97934
0.49221,76,51,235.89154
0.50454,68,52,250.83254
0.51272,60,53,260.74474
0.52501,53,54,275.63727
0.53255,46,55,284.77394
0.54525,38,56,300.16329
0.5535,31,57,310.16031
0.56589,23,58,325.17402
0.57419,15,59,335.23163
0.58608,8,60,349.63945
0.59463,0,61,360.0
0.6069,0,62,374.8683
0.61495,9,63,384.62296
0.62752,17,64,399.85479
0.63553,25,65,409.56098
0.64786,33,66,424.50198
0.65604,41,67,434.41418
0.66735,49,68,448.11919
0.67657,56,69,459.29161
0.68872,64,70,474.0145
0.69684,72,71,483.85399
0.70934,80,72,499.00099
0.71753,88,73,508.9253
0.72956,90,74,523.50278
0.7379,91,75,533.60886
0.74986,91,76,548.1015
0.75823,91,77,558.24394
0.77056,91,79,573.18494
0.77889,84,80,583.2789
0.79091,77,81,597.84425
0.79933,70,82,608.04727
0.81179,62,83,623.1458
0.81948,54,84,632.46424
0.83214,47,85,647.80512
0.84038,39,86,657.79002
0.85221,32,87,672.12514
0.86062,24,88,682.31604
0.87253,17,89,696.7481
0.8805,9,90,706.40583
0.8938,2,91,722.52224
0.90178,0,92,732.19208
0.91407,8,93,747.08461
0.92234,16,94,757.10587
0.93382,25,95,771.01687
0.94233,32,96,781.32895
0.95533,40,98,797.08183
0.96664,48,99,810.78684
0.97549,56,100,821.51091
0.9879,64,101,836.54886
0.99612,71,102,846.50952
1.00834,79,103,861.31723
1.01572,87,104,870.26002
1.02877,90,105,886.07349
1.03685,91,106,895.86451
1.04923,91,108,910.8661
1.05719,91,109,920.51171
1.06919,91,110,935.05283
1.07797,84,111,945.69208
1.09019,77,112,960.49979
1.09822,70,113,970.23022
1.11004,62,115,984.55322
1.11802,54,116,994.22307
1.13063,47,117,1009.50336
1.13861,39,118,1019.1732
1.15166,32,119,1034.98667
1.15981,24,120,1044.86252
1.17211,17,121,1059.76716
1.18016,9,122,1069.52183
1.19237,2,123,1084.31742
1.2008,1,124,1094.53256
1.21252,9,125,1108.73439
1.22131,17,126,1119.38576
1.23349,26,127,1134.14499
1.24179,33,128,1144.2026
1.25395,41,129,1158.9376
1.2617,49,130,1168.32874
1.27403,56,131,1183.26974
1.28235,64,132,1193.35159
1.29461,72,133,1208.20776
1.30307,80,134,1218.45925
1.31504,88,135,1232.96402
1.32346,90,136,1243.16704
1.33547,91,137,1257.72028
1.34392,91,138,1267.95965
1.35635,91,139,1283.02183
1.3647,91,140,1293.14002
1.37627,84,141,1307.16009
1.38485,77,142,1317.55699
1.39742,69,143,1332.78881
1.40493,61,144,1341.88913
1.41791,53,145,1357.61777
1.42632,46,146,1367.80867
1.43775,39,148,1381.65909
1.44656,31,149,1392.3347
1.45881,24,150,1407.17876
1.4666,16,151,1416.61837
1.47927,8,152,1431.97137
1.48751,1,153,1441.95627
1.49918,1,155,1456.09751
1.50716,9,156,1465.76735
1.52027,18,157,1481.65353
1.52841,26,158,1491.51725
1.54076,33,159,1506.48249
1.54828,41,160,1515.59492
1.5603,49,161,1530.16028
1.56867,57,162,1540.30271
1.58081,64,163,1555.01348
1.59312,72,164,1569.93024
1.60185,80,165,1580.50891
1.6156,88,166,1597.17061
1.62244,90,167,1605.45905
1.63468,91,168,1620.29099
1.64319,91,169,1630.60307
1.6556,91,170,1645.64101
1.66363,91,171,1655.37144
1.67562,83,172,1669.90044
1.68414,75,173,1680.22464
1.6953,67,174,1693.74788
1.70396,60,175,1704.24172
1.71687,52,177,1719.88554
1.72527,45,178,1730.06433
1.73736,37,179,1744.7145
1.74547,30,180,1754.54188
1.75708,22,181,1768.61041
1.76568,14,182,1779.03155
1.77839,7,183,1794.43302
1.78536,0,184,1802.87898
1.79874,4,185,1819.09233
1.80698,12,186,1829.07724
1.81902,20,187,1843.66683
1.82744,27,188,1853.86985
1.83905,35,189,1867.93838
1.84779,43,190,1878.52916
1.86033,50,191,1893.72463
1.86831,58,192,1903.39448
1.88028,66,193,1917.89924
1.88826,74,194,1927.56909
1.90117,82,195,1943.21291
1.90939,90,196,1953.17358
1.92123,91,197,1967.52082
1.9298,91,198,1977.9056
1.94216,91,199,1992.88295
1.95059,91,200,2003.09809
1.96246,90,201,2017.48168
1.97078,82,202,2027.56352
1.98305,74,204,2042.43182
1.99126,67,205,2052.38037
2.00361,59,206,2067.3456
2.01162,52,207,2077.0518
2.0242,44,208,2092.29574
2.03132,37,209,2100.92347
2.04449,29,211,2116.88235
2.05188,21,212,2125.83726
2.06495,14,213,2141.67496
2.07294,6,214,2151.35693
2.08487,0,215,2165.81322
2.09365,6,216,2176.45248
2.10586,13,218,2191.24806
2.12024,20,219,2208.67317
2.12615,28,220,2215.83468
2.13471,35,221,2226.20734
2.14647,44,222,2240.45764
2.15445,52,223,2250.12748
2.16742,59,224,2265.84401
2.17562,67,225,2275.78044
2.18786,76,226,2290.61238
2.19599,83,227,2300.46399
2.20825,91,228,2315.32017
2.22019,91,229,2329.78859
2.22817,91,230,2339.45843
2.24017,91,231,2353.99955
2.2493,91,232,2365.06292
2.26129,90,233,2379.59192
2.26894,81,234,2388.86189
2.28208,73,235,2404.78441
2.29015,66,236,2414.56332
2.30243,58,237,2429.44373
2.31075,51,238,2439.52557
2.32288,43,240,2454.22422
2.33125,36,241,2464.36665
2.34327,28,242,2478.93201
2.35119,20,243,2488.52915
2.36403,13,244,2504.08814
2.37204,5,245,2513.79434
2.38449,0,247,2528.88075
2.39285,7,248,2539.01107
2.40411,14,249,2552.65548
2.41317,21,250,2563.63403
2.42545,29,251,2578.51444
2.43297,37,252,2587.62688
2.44583,45,253,2603.21011
2.45413,53,254,2613.26772
2.46612,61,255,2627.79672
2.47435,69,256,2637.76951
2.48665,77,257,2652.67416
2.49508,85,258,2662.88929
2.50736,91,259,2677.7697
2.51528,90,260,2687.36684
2.52724,91,261,2701.85949
2.53575,91,262,2712.17157
2.54832,91,263,2727.40339
2.55642,87,264,2737.21865
2.56788,79,265,2751.10542
2.57679,72,266,2761.9022
2.58925,64,267,2777.00073
2.59817,57,268,2787.80963
2.60972,49,269,2801.80546
2.61748,41,270,2811.20872
2.63029,34,271,2826.73136
2.63863,26,272,2836.83744
2.65007,18,273,2850.69997
2.65865,11,274,2861.09688
2.67114,3,275,2876.23176
2.67825,1,276,2884.84737
2.69144,8,277,2900.83049
2.6995,15,278,2910.59727
2.71226,24,280,2926.05933
2.72025,32,281,2935.74129
2.73251,40,282,2950.59747
2.74065,48,283,2960.4612
2.75321,55,284,2975.6809
2.76048,63,285,2984.4904
2.77358,71,287,3000.36445
2.78178,79,288,3010.30088
2.79392,87,289,3025.01165
2.80147,90,290,3034.16044
2.81454,91,291,3049.99814
2.8224,91,292,3059.52258
2.83474,91,294,3074.47569
2.84836,91,295,3090.97986
2.8553,85,296,3099.38948
2.86777,78,297,3114.50013
2.87616,71,298,3124.66679
2.88741,63,299,3138.29909
2.89538,55,300,3147.95682
2.90839,47,301,3163.72182
2.91698,40,302,3174.13084
2.92851,32,304,3188.10243
2.93751,25,305,3199.00827
2.94966,17,306,3213.73115
2.95737,10,307,3223.07382
2.97021,2,308,3238.63282
2.97828,1,309,3248.41172
2.99055,8,310,3263.28002
2.99889,17,311,3273.3861
3.01049,25,312,3287.44251
3.01854,33,313,3297.19718
3.03183,40,314,3313.30147
3.03948,48,315,3322.57144
3.05193,56,316,3337.65785
3.05973,64,317,3347.10958
3.07227,72,319,3362.30505
3.08079,79,320,3372.62924
3.09306,87,321,3387.49754
3.10055,90,322,3396.57362
3.11349,91,323,3412.25379
3.12172,91,324,3422.22658
3.13389,91,326,3436.9737
3.14176,91,327,3446.51025
3.15426,85,328,3461.65725
3.16243,78,329,3471.55733
3.17502,70,330,3486.81339
3.18367,62,331,3497.29511
3.19525,55,333,3511.32729
3.20352,47,334,3521.34855
3.21592,40,335,3536.37437
3.2233,32,336,3545.31716
3.23623,25,337,3560.98522
3.24461,17,338,3571.13976
3.25677,9,339,3585.87477
3.26459,2,340,3595.35073
3.27738,0,341,3610.84914
3.28555,7,342,3620.74922
3.29746,16,343,3635.18128
3.30588,24,344,3645.3843
3.31777,32,345,3659.79213
3.3265,40,346,3670.37079
3.33879,48,348,3685.26332
3.34808,55,349,3696.52057
3.35928,63,350,3710.09228
3.36744,71,351,3719.98025
3.37958,79,352,3734.69101
3.38791,87,353,3744.78497
3.39926,90,354,3758.53845
3.40821,91,355,3769.3837
3.42073,91,356,3784.55494
3.42834,91,357,3793.77643
3.44037,91,358,3808.3539
3.44903,85,359,3818.84774
3.46156,78,361,3834.0311
3.47399,71,362,3849.09327
3.48155,63,363,3858.25418
3.49425,56,364,3873.64353
3.50243,48,365,3883.55573
3.51613,40,366,3900.15684
3.52269,33,367,3908.10599
3.53447,25,368,3922.38052
3.54317,18,369,3932.92283
3.55566,10,370,3948.05771
3.56401,3,371,3958.17591
3.57632,1,372,3973.09267
3.58472,7,373,3983.27146
3.59676,16,374,3997.86105
3.60471,24,375,4007.49454
3.61727,32,376,4022.71425
3.62562,40,377,4032.83244
3.63768,48,378,4047.44627
3.64595,55,379,4057.46752
3.65829,63,380,4072.42064
3.66554,71,381,4081.2059
3.67781,79,382,4096.0742
3.68622,87,383,4106.2651
3.69913,90,384,4121.90892
3.70751,91,385,4132.06347
3.719,91,386,4145.98659
3.72718,91,387,4155.89879
3.74019,91,388,4171.66379
3.74797,84,389,4181.09128
3.76033,76,391,4196.06863
3.76849,68,392,4205.95659
3.78125,60,393,4221.41865
3.78955,53,394,4231.47626
3.80082,45,395,4245.13279
3.8096,38,396,4255.77205
3.82202,30,398,4270.82211
3.82987,23,399,4280.33442
3.84246,15,400,4295.59048
3.8505,7,401,4305.33303
3.86267,0,402,4320.08015
3.87065,1,403,4329.75
3.88285,11,405,4344.53347
3.89083,19,406,4354.20331
3.90377,26,407,4369.88349
3.91492,34,408,4383.39461
3.92398,41,409,4394.37316
3.93266,49,410,4404.89123
3.94493,57,412,4419.75953
