t,angle,iteration,phase angle
0.0,91,1,315.3155
0.0,29,2,315.3155
0.001,52,4,315.80762
0.00801,28,5,319.25739
0.01618,24,6,323.27801
0.02903,21,7,329.60175
0.03692,17,8,333.48457
0.0497,14,9,339.77387
0.05768,10,10,343.70099
0.07001,7,12,349.76883
0.07847,3,13,353.93216
0.0908,0,14,360.0
0.09896,0,15,364.0157
0.11134,2,16,370.10814
0.11948,5,17,374.114
0.13129,8,18,379.92594
0.13997,11,19,384.19754
0.1522,13,20,390.21617
0.16039,16,21,394.24663
0.17273,19,22,400.31939
0.18095,22,23,404.36462
0.19317,25,24,410.37832
0.2008,28,25,414.1332
0.21368,31,27,420.47171
0.22195,34,28,424.54154
0.23415,37,29,430.5454
0.24173,40,30,434.27567
0.25464,43,31,440.62894
0.26277,46,32,444.62988
0.27488,49,34,450.58945
0.28332,52,35,454.74294
0.29556,54,36,460.76649
0.3036,57,37,464.72314
0.31606,60,38,470.85495
0.32842,63,39,476.93755
0.33666,66,40,480.99262
0.34884,69,41,486.98664
0.35676,72,42,490.88424
0.36926,75,43,497.03574
0.3777,78,44,501.18923
0.38981,81,45,507.1488
0.39789,84,46,511.12513
0.41,87,47,517.0847
0.41847,90,48,521.25296
0.43077,91,50,527.30604
0.43896,91,51,531.3365
0.4512,91,52,537.36005
0.45911,91,53,541.25272
0.4719,91,54,547.54693
0.47959,91,55,551.33133
0.49212,91,56,557.4976
0.49984,91,57,561.29676
0.51253,91,58,567.54177
0.52091,91,59,571.66573
0.53315,91,60,577.68928
0.54138,91,61,581.73943
0.55365,91,62,587.77774
0.56163,88,63,591.70486
0.57413,84,64,597.85636
0.58248,81,65,601.96556
0.59462,77,66,607.9399
0.60259,74,67,611.86209
0.61503,70,68,617.98407
0.62327,67,69,622.03914
0.63549,63,71,628.05284
0.64381,60,72,632.14728
0.65604,56,73,638.16591
0.66393,53,74,642.04874
0.67625,50,75,648.11165
0.68469,46,76,652.26515
0.69694,43,78,658.29362
0.70517,39,79,662.34376
0.71714,36,80,668.23444
0.72561,32,81,672.4027
0.73782,29,82,678.41148
0.74599,25,83,682.4321
0.75837,22,84,688.52455
0.76662,18,85,692.58454
0.77887,15,86,698.61301
0.78731,11,87,702.7665
0.79942,8,88,708.72607
0.80758,4,89,712.74177
0.81964,1,90,718.67674
0.82799,0,91,722.78594
0.8398,1,92,728.59788
0.84851,4,93,732.88425
0.86097,7,94,739.01606
0.869,10,95,742.96778
0.88128,13,96,749.01102
0.88953,16,97,753.07101
0.90179,18,99,759.1044
0.90996,22,100,763.12502
0.92194,25,101,769.02062
0.9303,27,102,773.13474
0.94267,30,103,779.22226
0.95501,33,104,785.29503
0.96303,36,105,789.24183
0.97546,39,106,795.35888
0.98347,42,107,799.30076
0.99598,45,108,805.45718
1.00423,48,109,809.51717
1.01648,51,110,815.54564
1.02465,54,111,819.56626
1.03697,57,112,825.62918
1.04474,60,113,829.45295
1.05674,63,115,835.35839
1.06469,66,116,839.27075
1.07766,69,117,845.65354
1.08624,72,118,849.87593
1.09846,75,119,855.88964
1.10661,77,120,859.90042
1.11898,80,121,865.98794
1.12674,83,122,869.80679
1.13933,86,123,876.00258
1.1475,89,124,880.0232
1.15986,91,125,886.10581
1.16805,91,126,890.13627
1.18023,91,127,896.13029
1.18852,91,128,900.20997
1.20076,91,129,906.23352
1.20897,91,130,910.27382
1.22124,91,131,916.31213
1.22912,91,132,920.19004
1.24175,91,133,926.40551
1.25,91,134,930.4655
1.26222,91,135,936.47921
1.27041,91,136,940.50967
1.28278,91,137,946.5972
1.29085,88,138,950.56861
1.30314,85,139,956.61676
1.31106,81,140,960.51435
1.32359,78,142,966.68061
1.33182,74,143,970.73076
1.34414,71,144,976.79368
1.3523,67,145,980.80938
1.36461,64,146,986.86738
1.37251,60,147,990.75513
1.38508,57,149,996.94107
1.39343,53,150,1001.05028
1.40553,50,151,1007.00493
1.41364,46,152,1010.99602
1.42604,43,153,1017.09831
1.43432,39,154,1021.17306
1.44599,36,156,1026.9161
1.45467,32,157,1031.1877
1.46663,29,158,1037.07346
1.47522,26,159,1041.30077
1.48746,22,160,1047.32432
1.49982,18,161,1053.40692
1.5079,15,162,1057.38325
1.52025,11,163,1063.46093
1.5284,8,164,1067.47171
1.54019,5,165,1073.27381
1.54891,1,166,1077.56509
1.55626,0,167,1081.18218
1.56865,0,168,1087.27954
1.57744,3,169,1091.60528
1.58978,6,170,1097.67804
1.5981,9,171,1101.77248
1.6104,12,172,1107.82555
1.62264,15,173,1113.8491
1.63009,18,174,1117.51539
1.64314,21,175,1123.93756
1.65123,24,176,1127.91881
1.66362,27,177,1134.01618
1.67179,29,178,1138.0368
1.68386,32,179,1143.97669
1.69228,35,180,1148.12034
1.7045,38,181,1154.13404
1.7127,41,182,1158.16943
1.7249,44,183,1164.17329
1.73329,47,184,1168.30218
1.74554,50,185,1174.33065
1.7537,53,186,1178.34635
1.76618,56,187,1184.48801
1.77413,59,188,1188.40036
1.78645,62,189,1194.46328
1.79474,65,190,1198.54295
1.80699,68,191,1204.57142
1.81517,71,192,1208.59696
1.82724,74,193,1214.53685
1.83558,77,194,1218.64113
1.84793,79,195,1224.71882
1.85609,83,196,1228.73451
1.86837,85,198,1234.77775
1.87661,89,199,1238.83282
1.88884,91,200,1244.85144
1.89694,91,201,1248.83762
1.90933,91,202,1254.93498
1.91652,91,203,1258.47333
1.92953,91,204,1264.87581
1.93797,91,205,1269.0293
1.95004,91,206,1274.96919
1.95837,91,207,1279.06855
1.9708,91,208,1285.1856
1.97858,91,209,1289.01429
1.99139,91,210,1295.31835
